domain,name,source,icp_tier,icp_score,signal_score,signal_trust,tags,batch,team_size,location,one_liner,has_api,has_mcp,outreach_priority,outreach_reason,company_url
algolia.com,Algolia,yc_saas,ICP 3,12,6,high,developer-tools|saas|b2b,w2014,810,"San Francisco, CA, USA",A developer-friendly and enterprise-grade search API.,0,1,excluded,Public MCP already detected; excluded from prospect list,https://www.ycombinator.com/companies/algolia
amplitude.com,Amplitude,yc_b2b,ICP 3,12,15,high,b2b|analytics|data-visualization|developer-tools|marketing,w2012,750,"San Francisco, CA, USA",Digital Analytics Platform,1,1,excluded,Public MCP already detected; excluded from prospect list,https://www.ycombinator.com/companies/amplitude
antavo.com,Antavo,seedcamp,ICP 1,5,13,high,"",,,,,1,1,excluded,Public MCP already detected; excluded from prospect list,http://antavo.com
brevo.com,Metrilo,speedinvest,ICP 2,7,14,high,Exits,2018,,Bulgaria,Tailored to the needs of e-commerce websites.,1,1,excluded,Public MCP already detected; excluded from prospect list,https://www.brevo.com/
checkr.com,Checkr,yc_b2b,ICP 3,12,15,high,compliance|enterprise-software|api|hr-tech|artificial-intelligence,s2014,800,"San Francisco, CA, USA",People infrastructure for the future of work,1,1,excluded,Public MCP already detected; excluded from prospect list,https://www.ycombinator.com/companies/checkr
cloudsquid.io,Cloudsquid,htgf,ICP 1,7,9,high,"",,,Germany,,1,1,excluded,Public MCP already detected; excluded from prospect list,https://cloudsquid.io/
comet.rocks,Comet,hv_capital,ICP 1,10,7,high,fintech,early,,"Berlin, Germany",paragraph,0,1,excluded,Public MCP already detected; excluded from prospect list,https://www.comet.rocks
contentful.com,Contentful,point_nine,ICP 2,9,15,high,Enterprise|Dev Tools & Infra,Seed,,"Berlin, Germany","Founded in Berlin in 2013, Contentful pioneered the API-first, headless CMS. Today, Contentful is the leading composable content platform that lets teams create, manage, and deliver digital content across websites, apps, and any channel via APIs.",1,1,excluded,Public MCP already detected; excluded from prospect list,http://www.contentful.com/
dedaluslabs.ai,Dedalus Labs,yc_developer_tools,ICP 1,13,7,high,ai|developer-tools|devops|workflow-automation,s2025,10,"San Francisco, CA, USA",Connect any model(s) to any tool(s) and ship hosted agents in minutes.,1,1,excluded,Public MCP already detected; excluded from prospect list,https://www.ycombinator.com/companies/dedalus-labs
eunice.ai,Eunice,speedinvest,ICP 2,7,3,high,Deep Tech,2022,,United Kingdom,Bridging data and action to empower the sustainable development of Web3 and Crypto.,1,1,excluded,Public MCP already detected; excluded from prospect list,https://www.eunice.ai/
infakt.pl,inFakt,point_nine,ICP 2,8,9,high,SMB SaaS,Seed,,"Kraków, Poland","Founded in 2008, inFakt is a leading Polish accounting-technology platform that combines a modern invoicing and bookkeeping app with access to certified accountants. It helps freelancers and small businesses manage taxes, payroll, and compliance via web and mobile. In 2020, inFakt was acquired by Visma.",1,1,excluded,Public MCP already detected; excluded from prospect list,https://www.infakt.pl/
linkup.so,Linkup,seedcamp,ICP 1,5,12,high,"",,,,,1,1,excluded,Public MCP already detected; excluded from prospect list,http://linkup.so
metaview.ai,Metaview,seedcamp,ICP 1,5,8,high,"",,,,,1,1,excluded,Public MCP already detected; excluded from prospect list,http://metaview.ai
minubo.com,minubo,htgf,ICP 1,7,6,high,"",,,Germany,,1,1,excluded,Public MCP already detected; excluded from prospect list,https://www.minubo.com/
qminder.com,Qminder,seedcamp,ICP 1,5,9,high,"",,,,,1,1,excluded,Public MCP already detected; excluded from prospect list,http://qminder.com
sequencemkts.com,Sequence Markets,yc_fintech,ICP 1,13,6,high,ai|payments|fintech|crypto-web3,w2026,5,"New York, NY, USA",Low latency infrastructure for fragmented crypto markets,1,1,excluded,Public MCP already detected; excluded from prospect list,https://www.ycombinator.com/companies/sequence-markets
sumup.com,SUMUP,hv_capital,ICP 1,9,15,high,fintech,growth,,"Luxembourg, Luxembourg",SumUp is the leading mobile point-of-sale (mPOS) company in Europe. Our company vision is to become the first ever global card acceptance brand. Today hundreds of thousands of merchants accept card payments with SumUp in 31 countries.,1,1,excluded,Public MCP already detected; excluded from prospect list,https://www.sumup.com/
zapier.com,Zapier,yc_saas,ICP 3,12,13,high,saas|b2b|automation,s2012,700,"Mountain View, CA, USA",The easiest way to automate your work.,1,1,excluded,Public MCP already detected; excluded from prospect list,https://www.ycombinator.com/companies/zapier
