domain,name,source,source_url,listing_page,detail_url,company_url,description,one_liner,tags,category,website_confidence,explicit_shopify_signal,explicit_shopify_reasons
100percentpure.com,100% PURE,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/100-pure,https://100percentpure.com,"Because your skin is the largest organ in the body, it absorbs everything you put on it. 100% PURE is the most nourishing and healthy food for your skin made from pure organic nutrients. Free of anything synthetic or anything artificial.","Because your skin is the largest organ in the body, it absorbs everything you put on it. 100% PURE is the most nourishing and healthy food for your skin made from pure organic nutrients. Free of anything synthetic or anything artificial.",Beauty,Beauty,high,0,
11honore.com,11 Honore,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/11-honore,https://11honore.com,"11 Honore is an inclusive e-commerce brand founded in 2017 by Patrick Herning and Kathryn Retzer, offering designer basics, formal wear, and workwear for plus-sized women in sizes 12-24. Featured in The New York Times, Forbes, and at New York Fashion Week, 11 Honore celebrates the beauty of all body types, empowering plus-sized women to feel seen and represented in elegant designer fashion.","11 Honore is an inclusive e-commerce brand founded in 2017 by Patrick Herning and Kathryn Retzer, offering designer basics, formal wear, and workwear for plus-sized women in sizes 12-24. Featured in The New York Times, Forbes, and at New York Fashion Week, 11 Honore celebrates the beauty of all body types, empowering plus-sized women to feel seen and represented in elegant designer fashion.",Apparel,Apparel,high,0,
12parsecsdesigns.com,12 Parsecs Designs,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/12-parsecs-designs,https://www.12parsecsdesigns.com,"Step into the world of tabletop gaming and let your imagination take flight with 12 Parsecs Designs. This family-owned brand offers a wide range of high-quality products, from dice sets to clothing, designed to enhance your gaming experience. With a focus on creativity and imagination, 12 Parsecs Designs has something for every passionate gamer.","Step into the world of tabletop gaming and let your imagination take flight with 12 Parsecs Designs. This family-owned brand offers a wide range of high-quality products, from dice sets to clothing, designed to enhance your gaming experience. With a focus on creativity and imagination, 12 Parsecs Designs has something for every passionate gamer.",Apparel,Apparel,high,0,
1999beauty.com,1999 Beauty,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/1999-beauty,https://1999beauty.com/,"1999 Beauty is a beauty brand that defies traditional rules of aging and makeup. Their multi-purpose products work on all skin types and tones, empowering individuals to create their own definition of beauty. Committed to responsible beauty, they use clean ingredients and sustainable packaging. Perfect for those who prioritize simplicity, versatility, and self-expression.","1999 Beauty is a beauty brand that defies traditional rules of aging and makeup. Their multi-purpose products work on all skin types and tones, empowering individuals to create their own definition of beauty. Committed to responsible beauty, they use clean ingredients and sustainable packaging. Perfect for those who prioritize simplicity, versatility, and self-expression.",Beauty,Beauty,high,0,
19no5.se,19NO5,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/19no5,https://www.19no5.se,"Discover 19NO5, the Swedish jewellery brand that believes in the power of personal stories. Each handcrafted piece is infused with its own identity, allowing you to express your unique style.","Discover 19NO5, the Swedish jewellery brand that believes in the power of personal stories. Each handcrafted piece is infused with its own identity, allowing you to express your unique style.",Apparel,Apparel,high,0,
23andme.com,23andMe,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/23andme,https://www.23andme.com/,"23andMe, Inc. is a personal genomics company that offers analysis of DNA test results and health-related genetic reports.","23andMe, Inc. is a personal genomics company that offers analysis of DNA test results and health-related genetic reports.",Wellness,Wellness,high,0,
2modern.com,2Modernu,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/2modernu,https://2modern.com,"2Modern, founded in 2003 by Greg Finney, specializes in curating exquisite modern design. The company offers a diverse range of modern furniture, lighting, and home decor. With a collection that includes everything from rattan chandeliers to Scandinavian stools, 2Modern showcases the finest in authentic modern design. The store features a curated selection from an A-list of iconic and emerging brands, including celebrated names like Fritz Hansen, Vitra, and Louis Poulsen, as well as rising stars like Ethnicraft, Cappellini, Dedon, Four Hands, and Blu Dot. Dedicated to providing luxury design, 2Modern delivers its high-quality products nationwide.","2Modern, founded in 2003 by Greg Finney, specializes in curating exquisite modern design. The company offers a diverse range of modern furniture, lighting, and home decor. With a collection that includes everything from rattan chandeliers to Scandinavian stools, 2Modern showcases the finest in authentic modern design. The store features a curated selection from an A-list of iconic and emerging brands, including celebrated names like Fritz Hansen, Vitra, and Louis Poulsen, as well as rising stars like Ethnicraft, Cappellini, Dedon, Four Hands, and Blu Dot. Dedicated to providing luxury design, 2Modern delivers its high-quality products nationwide.",Home & Garden,Home & Garden,high,0,
32degrees.com,32 Degrees,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/32-degrees,https://32degrees.com,"32 Degrees, a basic apparel retailer based in the United States, carries a wide array of men's and women's clothing. Placing high priority on value and comfort, this store presents an extensive selection of everyday items designed to suit diverse styles and budgets. The product offerings at 32 Degrees are as varied as they are numerous, from warming winter outerwear to cool summer polo shirts, ensuring customer comfort throughout the year.","32 Degrees, a basic apparel retailer based in the United States, carries a wide array of men's and women's clothing. Placing high priority on value and comfort, this store presents an extensive selection of everyday items designed to suit diverse styles and budgets. The product offerings at 32 Degrees are as varied as they are numerous, from warming winter outerwear to cool summer polo shirts, ensuring customer comfort throughout the year.",Apparel,Apparel,high,0,
456skin.com,456 Skin,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/456-skin,https://www.456skin.com/,"456 Skin is a pioneering skincare brand that caters to the specific needs of melanin-rich skin. Their science-backed formulations are free of prejudice and offer personalized solutions for phototypes IV, V, and VI.","456 Skin is a pioneering skincare brand that caters to the specific needs of melanin-rich skin. Their science-backed formulations are free of prejudice and offer personalized solutions for phototypes IV, V, and VI.",Beauty,Beauty,high,0,
47brand.com,47 Brand,dtcetc,https://www.dtcetc.com/,https://www.dtcetc.com/,https://www.dtcetc.com/brand/47-brand,https://47brand.com,47 Brand is a United States-based lifestyle apparel retailer that sells men's and women's Clothing. '47 offers licensed fan gear from your favorite teams. For over 70 years '47 has paid undeniable attention to detail and shown passion for quality materials.,47 Brand is a United States-based lifestyle apparel retailer that sells men's and women's Clothing. '47 offers licensed fan gear from your favorite teams. For over 70 years '47 has paid undeniable attention to detail and shown passion for quality materials.,Apparel,Apparel,high,0,
