domain,name,source,icp_tier,icp_score,signal_score,signal_trust,signals,tags,batch,team_size,location,one_liner,description,company_url,source_url
tinfoil.sh,Tinfoil,yc_security,ICP 1,13,15,high,api|docs|auth|console|dashboard|status,b2b|cybersecurity|privacy|artificial-intelligence|security,p2025,4,"San Francisco, CA, USA","Tinfoil makes your AI workflows secure, verifiable, and private.","Tinfoil makes it easy to make your AI workloads provably private, without changing your code. You get the privacy of on-prem deployments, while running on the cloud.

We’ve built a full-stack platform on top of the latest NVIDIA GPUs offering confidential computing capabilities, meaning that you don’t have to tradeoff performance for privacy. 

Under the hood, we integrate a suite of recent advances in secure hardware technologies, in particular NVIDIA’s confidential compute mode available on Hopper and Blackwell. When combined with Tinfoil’s software stack, companies can prove their security claims rather than relying on unenforceable statements like ""trust us, we don’t log your queries.” Tinfoil guarantees that all data always stays private and cannot be accessed by anyone other than the end user — not even by Tinfoil or the cloud provider it’s processed on. 

The founding team combines deep academic and industry experience in security and internet protocols. Tanya was previously a systems engineer at Cloudflare, where she built Internet security protocols used by billions, and contributed to the Workers AI platform. Jules and Sacha recently completed their PhDs at MIT where they worked on secure hardware and privacy-preserving technologies. Jules has also worked at NVIDIA on their confidential computing team. Nate has deep infrastructure experience, starting in high school when he built a mini-CDN that got him an internship at Cloudflare. Tinfoil was born from our personal frustration with the false choice between access to powerful AI and data privacy.

As AI becomes tightly integrated into our lives and business workflows, it will touch an ever increasing amount of sensitive personal and proprietary data. Right now, the only solutions are DPAs, band-aids like PII redaction, or the nuclear option of running everything on-prem. These solutions are not scalable.  By making it easy to deploy provable privacy, Tinfoil promises to unlock significantly deeper AI adoption and integrations, just as TLS on the Internet enabled e-commerce to flourish by securing credit cards on the network.

If OpenAI is creating “God in a box”, we are putting God in a blackbox, so Satan can’t spy.",https://www.ycombinator.com/companies/tinfoil,https://www.ycombinator.com/companies/industry/security
specific.dev,Specific,yc_developer_tools,ICP 1,13,13,high,api|docs|auth|app|dashboard,ai|developer-tools|no-code|devops,f2025,2,"Stockholm, Sweden",AWS for coding agents,Specific lets your coding agent write code and build the infrastructure to deploy it. Connect your favorite coding agent and start building immediately. Run `specific dev` to get a full local environment running in seconds. Run `specific deploy` to go to production on our scalable cloud platform in minutes.,https://www.ycombinator.com/companies/specific,https://www.ycombinator.com/companies/industry/developer-tools
oneleet.com,Oneleet,yc_security,ICP 2,13,12,high,api|docs|auth|app|status,b2b|compliance|security|saas|artificial-intelligence,s2022,50,,"YC's most popular security compliance platform (SOC 2, ISO 27001,…","Oneleet helps companies become secure and compliant through an all-in-one solution that combines automated tools and human expertise.

Oneleet has built the second generation of security compliance automation software, providing tools that go beyond what is classically provided for just compliance alone. Tools like a code security scanner, attack-surface management, access reviews and trust portal are all built in.

As the most popular, highest rated and most frequently used platform in the YC community, Oneleet has quickly established itself as the preferred and superior alternative to other incumbents.

The founder behind Oneleet has spent the past 10+ years helping companies become more secure by performing penetration tests.",https://www.ycombinator.com/companies/oneleet,https://www.ycombinator.com/companies/industry/security
better-auth.com,Better Auth,yc_security,ICP 1,13,11,high,api|docs|auth|app,developer-tools|security|open-source,p2025,4,"San Francisco, CA, USA",The authentication framework for TypeScript,"Better Auth is a comprehensive authentication framework for TypeScript that lets you implement everything from simple auth flows to enterprise-grade systems directly on your own database, embedded in your backend. It’s loved by developers all over the world and endorsed by leading voices in the ecosystem.

On top of the framework, Better Auth also provides an infrastructure layer to help you scale with user management and analytics, bot and fraud detection, transactional email and SMS, global session storage and more.",https://www.ycombinator.com/companies/better-auth,https://www.ycombinator.com/companies/industry/security
qfex.com,QFEX,yc_fintech,ICP 1,13,10,high,api|docs|auth|status,marketplace|fintech|trading,p2025,10,"London, UK",24/7 Global Stock Exchange,"QFEX is the 24/7 exchange for traditional financial markets.

We let you trade US equities, commodities and FX pairs with (or without) leverages of up to 100x. On QFEX, UX comes first: brokerless market access, seamless integration with traditional payment rails, and ultra-efficient Perpetual Futures offered over all asset classes. Trading has never been simpler, cheaper or fairer than with QFEX.

Founded by Quants and Engineers from Citadel & Tower Research who saw an opportunity to make markets how they always should have been, QFEX will eventually replace the entire $100 billion exchange and clearing industry.",https://www.ycombinator.com/companies/qfex,https://www.ycombinator.com/companies/industry/fintech
usedari.com,Dari,yc_developer_tools,ICP 1,13,10,high,api|docs|app|dashboard,robotic-process-automation|b2b|workflow-automation|developer-tools,f2025,2,"San Francisco, CA, USA",An API to build the most reliable browser use agents,"A platform where users can automate web workflows using natural language prompts.

We handle deterministic playback of browser workflows and fall back to LLMs where necessary, ensuring reliability. ",https://www.ycombinator.com/companies/dari,https://www.ycombinator.com/companies/industry/developer-tools
endclose.com,End Close,yc_saas,ICP 1,13,9,high,api|auth|app|status,payments|b2b|saas|fintech|ai,w2026,2,"San Francisco, CA, USA",AI powered reconciliation for high-volume payments companies,"End Close builds automatic reconciliation for payments companies like fintechs, marketplaces, banks and payroll companies. Reconciliation helps companies track every dollar and resolve every exception, ensuring they have no money loss, can report audit ready financials, and stay compliant.

Sean (CEO) spent the last 6 years building the reconciliation org at Modern Treasury (S18), processing a trillion dollars in payments across 40 banks with 99.995% automation. Fast growing companies like Modern Treasury are forced to build a solution in-house or buy a legacy solution. End Close provides a modern reconciliation system that works with a company's existing stack and is managed by AI agents.

Exception handling is where 99% of the manual work happens today, payment ops teams spend hours gathering context across various data sources to investigate each ticket. End Close provides an AI ops agent that connects to a company's data warehouse, invoicing platform and payment processors to triage and resolve issues without human intervention.

Legacy providers only provide reconciliation for month end close applications. End Close continuously reconciles with developer friendly APIs, allowing teams to integrate real time payments data within their products to create product experiences for customers like faster balance top-ups, instant trading etc. 

New payment rails and agent-to-agent payments are increasing online transaction volumes, making reconciliation a growing challenge for companies. David (CTO and 2nd time YC founder) most recently built these kinds of high-scale ingestion pipelines when starting and leading error tracking at PostHog (W20), the fastest growing product in the company's history.",https://www.ycombinator.com/companies/end-close,https://www.ycombinator.com/companies/industry/SaaS
hyperspell.com,Hyperspell,yc_developer_tools,ICP 1,13,9,high,api|docs|app|status,machine-learning|b2b|infrastructure|developer-tools|artificial-intelligence,f2025,3,"San Francisco, CA, USA",Memory for AI Agents,"Hyperspell (YC F25) gives AI agents memory.

It connects to tools like Slack, Gmail, Notion, and Drive so agents can recall, reason, and remember across company knowledge. Developers use Hyperspell’s API to turn disconnected agents into AI coworkers that understand their work. Conor and Manu founded Hyperspell after building their own workplace agent and seeing how limited AI is without memory. They have over 15 years of experience in machine learning and have scaled API-based products to $30M ARR.",https://www.ycombinator.com/companies/hyperspell,https://www.ycombinator.com/companies/industry/developer-tools
usechamber.io,Chamber,yc_developer_tools,ICP 1,13,9,high,api|docs|app|status,ai|artificial-intelligence|b2b|enterprise-software|developer-tools,w2026,4,"San Francisco, CA, USA",Autopiloting your AI infrastructure,"Chamber puts your AI infrastructure on autopilot. Our agentic AI enabled platform orchestrates, governs, and optimizes your AI infrastructure so teams can run ~50% more workloads on the same GPUs without manual intervention. It operates like an autonomous infrastructure team: continuously monitoring GPU clusters, forecasting demand, detecting unhealthy nodes, and reallocating resources in real time to where they create the most impact. Your ML teams move faster, infra waste drops, and GPU bottlenecks disappear.",https://www.ycombinator.com/companies/chamber,https://www.ycombinator.com/companies/industry/developer-tools
byteport.io,Byteport,yc_saas,ICP 1,13,8,high,docs|auth|dashboard,b2b|saas|infrastructure,w2026,1,"San Francisco, CA, USA",Global upload acceleration for 1GB-100TB files.,"Founded in 2025, Byteport is a technology company that builds mission-critical network infrastructure for robotics, satellite, AI, and enterprise applications all over the world. Businesses of every size—from new startups to public companies—use our software to accelerate file transfer online.",https://www.ycombinator.com/companies/byteport,https://www.ycombinator.com/companies/industry/SaaS
