domain,name,source,icp_tier,icp_score,signal_score,signal_trust,tags,batch,team_size,location,one_liner,has_api,has_mcp,outreach_priority,outreach_reason,company_url
algolia.com,Algolia,yc_saas,ICP 3,12,6,high,developer-tools|saas|b2b,w2014,810,"San Francisco, CA, USA",A developer-friendly and enterprise-grade search API.,0,1,excluded,Public MCP already detected; excluded from prospect list,https://www.ycombinator.com/companies/algolia
antavo.com,Antavo,seedcamp,ICP 1,5,13,high,"",,,,,1,1,excluded,Public MCP already detected; excluded from prospect list,http://antavo.com
brevo.com,Metrilo,speedinvest,ICP 2,7,14,high,Exits,2018,,Bulgaria,Tailored to the needs of e-commerce websites.,1,1,excluded,Public MCP already detected; excluded from prospect list,https://www.brevo.com/
cloudsquid.io,Cloudsquid,htgf,ICP 1,7,9,high,"",,,Germany,,1,1,excluded,Public MCP already detected; excluded from prospect list,https://cloudsquid.io/
comet.rocks,Comet,antler,ICP 1,7,7,high,B2B Software,2022,,Germany,Agentic Commerce Interfaces for D2C eCom brands,0,1,excluded,Public MCP already detected; excluded from prospect list,https://comet.rocks
contentful.com,Contentful,point_nine,ICP 2,9,15,high,Enterprise|Dev Tools & Infra,Seed,,"Berlin, Germany","Founded in Berlin in 2013, Contentful pioneered the API-first, headless CMS. Today, Contentful is the leading composable content platform that lets teams create, manage, and deliver digital content across websites, apps, and any channel via APIs.",1,1,excluded,Public MCP already detected; excluded from prospect list,http://www.contentful.com/
dodopayments.com,Dodo Payments,antler,ICP 1,8,6,high,FinTech,2024,,India,A cross border payments orchestrator layer with a Merchant of Record service to provide local payment options to their customers,0,1,excluded,Public MCP already detected; excluded from prospect list,https://dodopayments.com
eunice.ai,Eunice,speedinvest,ICP 2,7,3,high,Deep Tech,2022,,United Kingdom,Bridging data and action to empower the sustainable development of Web3 and Crypto.,1,1,excluded,Public MCP already detected; excluded from prospect list,https://www.eunice.ai/
infakt.pl,inFakt,point_nine,ICP 2,8,9,high,SMB SaaS,Seed,,"Kraków, Poland","Founded in 2008, inFakt is a leading Polish accounting-technology platform that combines a modern invoicing and bookkeeping app with access to certified accountants. It helps freelancers and small businesses manage taxes, payroll, and compliance via web and mobile. In 2020, inFakt was acquired by Visma.",1,1,excluded,Public MCP already detected; excluded from prospect list,https://www.infakt.pl/
linkup.so,Linkup,seedcamp,ICP 1,5,12,high,"",,,,,1,1,excluded,Public MCP already detected; excluded from prospect list,http://linkup.so
metaview.ai,Metaview,seedcamp,ICP 1,5,8,high,"",,,,,1,1,excluded,Public MCP already detected; excluded from prospect list,http://metaview.ai
minubo.com,minubo,htgf,ICP 1,7,6,high,"",,,Germany,,1,1,excluded,Public MCP already detected; excluded from prospect list,https://www.minubo.com/
pricehubble.com,PriceHubble,b2venture,ICP 2,8,7,high,PropTech & Construction|BI & Analytics|SaaS,2017,,Swittzerland,"PriceHubble was founded to bring transparency into real estate markets globally. They provide insights & solutions to their clients, allowing them to take smarter real estate decisions and enabling them to boost critical performance metrics in their business (e.g. client conversion, retention or rental yield).",1,1,excluded,Public MCP already detected; excluded from prospect list,https://www.pricehubble.com/de/
qminder.com,Qminder,seedcamp,ICP 1,5,9,high,"",,,,,1,1,excluded,Public MCP already detected; excluded from prospect list,http://qminder.com
relynk.io,Relynk,antler,ICP 2,7,9,high,Real Estate and PropTech,2022,,Norway,One API to give building owners & service providers access to a commercial building’s real-time data,1,1,excluded,Public MCP already detected; excluded from prospect list,https://relynk.io/
sequa.ai,Sequa AI,antler,ICP 1,7,11,high,B2B Software,2025,,Germany,Sequa gives AI dev tools full codebase understanding,1,1,excluded,Public MCP already detected; excluded from prospect list,https://sequa.ai/antler1
studocu.com,StuDocu,point_nine,ICP 2,8,5,high,Consumer|Education,Seed,,"Amsterdam, Netherlands","StuDocu is a global student-to-student learning platform where learners share and discover course-specific study materials, now enhanced by AI tools for quizzes and flashcards. Founded in 2013 in the Netherlands, it serves tens of millions of students worldwide.",1,1,excluded,Public MCP already detected; excluded from prospect list,http://www.studocu.com/
sumup.com,SumUp,b2venture,ICP 1,8,15,high,FinTech,2012,,UK,"SumUp is a leading global financial technology company, providing merchants and small businesses with a free business account and card, an online store, and an invoicing solution – as well as in-person and remote payments seamlessly integrated with SumUp’s card terminals and point-of-sale registers.",1,1,excluded,Public MCP already detected; excluded from prospect list,https://www.sumup.com/en-us/
