run_id,scanned_at,domain,name,source,source_family,icp_tier,icp_score,signal_score,signal_trust,tags,location,batch,team_size,one_liner,description,company_url,source_url,has_api,has_mcp,outreach_priority,outreach_reason,scan_status,source_file,website_checked_at,website_status,website_active,website_http_code,website_scheme,website_final_url,website_error,website_meta_checked_at,website_title,website_meta_description,website_og_description,tag_scanned,tag_outreach_ready,tag_excluded_mcp,tag_needs_review,tag_website_active,tag_invalid_domain,tag_high_profile,tag_germany,tag_eu,tag_fintech,tag_devtools,tag_security,tag_ai,tag_data,tag_infra,tag_hr,tag_productivity,tag_b2b,priority_score,recommended_segment,master_tags,sheet_status,owner,contact_name,contact_email,linkedin_url,first_message_angle,notes,business_status_checked_at,business_status_score,business_status,business_status_confidence,business_status_reason,business_status_evidence_urls,signal_site_live,signal_brand_metadata,signal_product_surface,signal_docs_surface,signal_status_surface,signal_app_surface,signal_hiring_surface,signal_recent_content,business_status_signal_count,ecommerce_score,ecommerce_confidence,ecommerce_positive_reasons,ecommerce_negative_reasons,ecommerce_reason_summary,explicit_shopify_signal,explicit_shopify_reasons
,2026-03-06 13:08:59,whatnot.com,Whatnot,yc_artificial_intelligence,yc,ICP 3,9,,,marketplace|e-commerce,"Los Angeles, CA, USA",w2020,731,Whatnot is the largest livestream shopping platform in the U.S.,"Whatnot is the largest livestream shopping platform in the U.S., connecting buyers and sellers in real-time across any category – from collectibles like trading cards to comics, fashion, sneakers, and more.",https://www.ycombinator.com/companies/whatnot,https://www.ycombinator.com/companies/industry/artificial-intelligence,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,scanned_previous,,2026-03-13T15:29:55Z,active,1,200,https,https://www.whatnot.com/,,2026-03-13T21:54:16Z,"Whatnot: Shop, Sell, Connect","Whatnot - The Live Shopping Marketplace. Shop, sell, and connect around things you love. Explore 250+ categories, including coins, sneakers, fashion, electronics, sports and Pokmon cards, fashion, plants, jewelry, and more. Join Whatnot today.","Whatnot - The Live Shopping Marketplace. Shop, sell, and connect around things you love. Explore 250+ categories, including coins, sneakers, fashion, electronics, sports and Pokmon cards, fashion, plants, jewelry, and more. Join Whatnot today.",1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,23,global_tier1,high|scanned_previous|yc|yc_artificial_intelligence|icp_3|high_profile|verified_api_no_mcp|website_active|fintech|infra,,,,,,,,2026-03-13T23:38:00Z,13,active,high,site=active; homepage metadata present; public product/API signal present; docs/developer surface found; status surface found; careers/jobs surface found; recent content signal found,https://www.whatnot.com/ | https://www.whatnot.com/docs | https://status.whatnot.com | https://www.whatnot.com/company/careers | https://www.whatnot.com/blog,1,1,1,1,1,0,1,1,5,15,high,commerce_term|marketplace_term|category_term,,commerce_term|marketplace_term|category_term,0,
20260313T154441Z-ad9651bb,2026-03-13 15:44:46,auctionata.com,auctionata,hv_capital,vc_portfolio,ICP 2,9,,,consumer,"Berlin, Germany",exit,,"auctionata was the leading online platform for art and luxury collectibles and one of the ten biggest auction houses (outside of China) with over 800.000 customers worldwide. The company attracted consignors, business partners and buyers with over 700 livestream auctions and an online shop with more than 25.000 objects from over 14 categories. As the inventor of the livestream auction, the company broadcasted auctions in real-time via desktop, mobile devices and mobile app.","auctionata was the leading online platform for art and luxury collectibles and one of the ten biggest auction houses (outside of China) with over 800.000 customers worldwide. The company attracted consignors, business partners and buyers with over 700 livestream auctions and an online shop with more than 25.000 objects from over 14 categories. As the inventor of the livestream auction, the company broadcasted auctions in real-time via desktop, mobile devices and mobile app.",http://www.auctionata.com,https://www.hvcapital.com/companies,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,scanned_previous,data/master/unscanned_active_domains.txt,2026-03-13T15:29:53Z,active,1,200,https,https://auctionata.com,,2026-03-13T21:52:18Z,auctionata -,,,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,25,germany_tier1,high|scanned_previous|vc_portfolio|hv_capital|icp_2|germany|eu|verified_api_no_mcp|website_active|infra,,,,,,,,2026-03-13T23:18:57Z,10,active,medium,site=active; homepage metadata present; public product/API signal present; docs/developer surface found; status surface found; app/login surface found,https://auctionata.com | https://docs.auctionata.com | https://status.auctionata.com | https://app.auctionata.com,1,1,1,1,1,1,0,0,3,14,high,commerce_term|marketplace_term|category_term|consumer_term,,commerce_term|marketplace_term|category_term|consumer_term,0,
20260313T154441Z-ad9651bb,2026-03-13 15:53:50,dafiti.com.br,Dafiti,hv_capital,vc_portfolio,ICP 1,5,,,consumer,"SaoPaulo, Brazil",exit,,"Dafiti is the leading Brazilian online shop for shoes, fashion and accessories. It offers a wide variety of national and international brands and designers to women, men and kids. Dafiti focusses on delivering a great customer experience. Prior to Rocket Internet’s successful IPO, HV contributed its stakes in Dafiti and 6 other companies in exchange for a 2.5% stake in Rocket Internet.","Dafiti is the leading Brazilian online shop for shoes, fashion and accessories. It offers a wide variety of national and international brands and designers to women, men and kids. Dafiti focusses on delivering a great customer experience. Prior to Rocket Internet’s successful IPO, HV contributed its stakes in Dafiti and 6 other companies in exchange for a 2.5% stake in Rocket Internet.",https://www.dafiti.com.br/,https://www.hvcapital.com/companies,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,scanned_previous,data/master/unscanned_active_domains.txt,2026-03-13T15:30:09Z,active,1,200,https,https://www.dafiti.com.br/,,2026-03-13T21:52:36Z,"Dafiti: Promoo de Sapatos, Roupas, Bolsas e Mais","Na Dafiti voc encontra as melhores marcas de sapatos, roupas, bolsas, acessrios, perfumes, produtos de beleza e decorao em promoo. Aproveite!",,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,global_tier1,high|scanned_previous|vc_portfolio|hv_capital|icp_1|verified_api_no_mcp|website_active,,,,,,,,2026-03-13T23:21:59Z,13,active,high,site=active; homepage metadata present; public product/API signal present; docs/developer surface found; status surface found; app/login surface found; careers/jobs surface found; content/news surface found,https://www.dafiti.com.br/ | https://www.dafiti.com.br/docs | https://www.dafiti.com.br/status | https://www.dafiti.com.br/login | https://www.dafiti.com.br/company/careers | https://www.dafiti.com.br/news,1,1,1,1,1,1,1,0,4,14,high,commerce_term|category_term|consumer_term,,commerce_term|category_term|consumer_term,0,
20260313T154441Z-ad9651bb,2026-03-13 15:46:47,enamora.de,Enamora,hv_capital,vc_portfolio,ICP 1,7,,,consumer,"Berlin, Germany",exit,,"Enamora is the German market’s leading online shop for lingerie and underwear. With a selection of virtually all of the leading brands, availability of many sizes and extremely high customer satisfaction, Enamora has established itself as the place to go for consumers looking for lingerie and underwear. In January 2010, Enamora became an affiliate of 7trends.","Enamora is the German market’s leading online shop for lingerie and underwear. With a selection of virtually all of the leading brands, availability of many sizes and extremely high customer satisfaction, Enamora has established itself as the place to go for consumers looking for lingerie and underwear. In January 2010, Enamora became an affiliate of 7trends.",http://www.enamora.de/,https://www.hvcapital.com/companies,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,scanned_previous,data/master/unscanned_active_domains.txt,2026-03-13T15:29:58Z,active,1,200,https,https://enamora.de,,2026-03-13T21:52:44Z,"Enamora Ihre Quelle Fr Schnheit, Mode Und Lifestyle","Tauchen Sie ein in die Welt von Enamora und entdecken Sie Schnheit, Mode und Lifestyle in ihrer vollen Pracht. Finden Sie hier alles, was Ihr Herz begehrt.","Tauchen Sie ein in die Welt von Enamora und entdecken Sie Schnheit, Mode und Lifestyle in ihrer vollen Pracht. Finden Sie hier alles, was Ihr Herz begehrt.",1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,23,germany_tier1,high|scanned_previous|vc_portfolio|hv_capital|icp_1|germany|eu|verified_api_no_mcp|website_active,,,,,,,,2026-03-13T23:23:03Z,11,active,high,site=active; homepage metadata present; public product/API signal present; docs/developer surface found; app/login surface found; recent content signal found,https://enamora.de | https://enamora.de/docs | https://enamora.de/app | https://enamora.de/news,1,1,1,1,0,1,0,1,4,14,high,commerce_term|category_term|consumer_term,,commerce_term|category_term|consumer_term,0,
20260313T154441Z-ad9651bb,2026-03-13 15:49:20,pamono.com,Pamono,hv_capital,vc_portfolio,ICP 1,7,,,consumer,"Berlin, Germany",exit,,"Pamono is the ultimate resource for exploring, discovering and collecting extraordinary design from around the world. The company brings you material from the world’s most exclusive galleries and makers. Pamono offers design collectibles and combines vivid, original content with integrated e-commerce, while setting a high value on excellent customer service and 100% quality assurance.","Pamono is the ultimate resource for exploring, discovering and collecting extraordinary design from around the world. The company brings you material from the world’s most exclusive galleries and makers. Pamono offers design collectibles and combines vivid, original content with integrated e-commerce, while setting a high value on excellent customer service and 100% quality assurance.",http://www.pamono.com/,https://www.hvcapital.com/companies,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,scanned_previous,data/master/unscanned_active_domains.txt,2026-03-13T15:30:03Z,active,1,200,https,https://www.pamono.com/,,2026-03-13T21:53:33Z,"Pamono - Vintage & Antique Furniture, Lighting & Art","Shop vintage, antique, mid-century and contemporary furniture, lighting, art & jewelry from the best dealers and designers. Worldwide Shipping.",,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,23,germany_tier1,high|scanned_previous|vc_portfolio|hv_capital|icp_1|germany|eu|verified_api_no_mcp|website_active,,,,,,,,2026-03-13T23:30:59Z,14,active,high,site=active; homepage metadata present; public product/API signal present; docs/developer surface found; status surface found; app/login surface found; careers/jobs surface found; recent content signal found,https://www.pamono.com/ | https://docs.pamono.com | https://www.pamono.com/status | https://app.pamono.com | https://www.pamono.com/careers | https://www.pamono.com/blog,1,1,1,1,1,1,1,1,5,14,high,commerce_term|category_term|consumer_term,,commerce_term|category_term|consumer_term,0,
20260313T154441Z-ad9651bb,2026-03-13 16:00:30,bazaarvoice.com,bazaarvoice.com,top_1m,top_1m,ICP 1,1,,,,,,,,,,/app/data/raw/top-1m.csv.zip,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,scanned_previous,data/master/unscanned_active_domains.txt,2026-03-13T15:30:21Z,active,1,200,https,https://www.bazaarvoice.com/,,2026-03-13T21:52:20Z,Bazaarvoice | The UGC Platform for Authentic Shopper Experiences,"The leading UGC platform for authentic ratings, reviews, visual UGC, and review syndication that powers discovery, shopper trust, and higher ecommerce conversion.","The leading UGC platform for authentic ratings, reviews, visual UGC, and review syndication that powers discovery, shopper trust, and higher ecommerce conversion.",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,global_tier1,high|scanned_previous|top_1m|icp_1|verified_api_no_mcp|website_active,,,,,,,,2026-03-13T23:19:20Z,13,active,high,site=active; homepage metadata present; public product/API signal present; docs/developer surface found; status surface found; app/login surface found; careers/jobs surface found; content/news surface found,https://www.bazaarvoice.com/ | https://developer.bazaarvoice.com | https://status.bazaarvoice.com | https://www.bazaarvoice.com/app | https://www.bazaarvoice.com/jobs | https://www.bazaarvoice.com/changelog,1,1,1,1,1,1,1,0,4,13,medium,commerce_term|retail_term,,commerce_term|retail_term,0,
20260313T154441Z-ad9651bb,2026-03-13 15:53:19,depop.com,DEPOP,hv_capital,vc_portfolio,ICP 1,5,,,marketplace,"London, UK",exit,,"Depop is the mobile marketplace for anyone to buy and sell almost anything straight from their mobile. If you can photograph it, you can sell it. Users follow their favourite individuals, shops and brands to discover what they buy, sell and like, or open their own little mobile shop with the touch of a button.","Depop is the mobile marketplace for anyone to buy and sell almost anything straight from their mobile. If you can photograph it, you can sell it. Users follow their favourite individuals, shops and brands to discover what they buy, sell and like, or open their own little mobile shop with the touch of a button.",https://www.depop.com/,https://www.hvcapital.com/companies,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,scanned_previous,data/master/unscanned_active_domains.txt,2026-03-13T15:30:08Z,active,1,200,https,https://www.depop.com/,,2026-03-13T21:52:37Z,"Depop - buy, sell, discover unique fashion",Designer. Preloved. Vintage. Streetwear. Sneakers. Whatever your style. Find it on Depop.,Designer. Preloved. Vintage. Streetwear. Sneakers. Whatever your style. Find it on Depop.,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,17,eu_tier1,high|scanned_previous|vc_portfolio|hv_capital|icp_1|eu|verified_api_no_mcp|website_active,,,,,,,,2026-03-13T23:22:04Z,14,active,high,site=active; homepage metadata present; public product/API signal present; docs/developer surface found; status surface found; app/login surface found; careers/jobs surface found; recent content signal found,https://www.depop.com/ | https://www.depop.com/docs | https://www.depop.com/status | https://www.depop.com/login | https://www.depop.com/jobs | https://www.depop.com/blog,1,1,1,1,1,1,1,1,5,13,high,marketplace_term|category_term|consumer_term,,marketplace_term|category_term|consumer_term,0,
20260313T154441Z-ad9651bb,2026-03-13 16:07:11,ebay.com,ebay.com,top_1m,top_1m,ICP 1,1,,,,,,,,,,/app/data/raw/top-1m.csv.zip,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,scanned_previous,data/master/unscanned_active_domains.txt,2026-03-13T15:30:36Z,active,1,200,https,https://www.ebay.com/,,2026-03-13T21:52:45Z,"Electronics, Cars, Fashion, Collectibles & More | eBay","Buy & sell electronics, cars, clothes, collectibles & more on eBay, the world's online marketplace. Top brands, low prices & free shipping on many items.","Buy & sell electronics, cars, clothes, collectibles & more on eBay, the world's online marketplace. Top brands, low prices & free shipping on many items.",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,global_tier1,high|scanned_previous|top_1m|icp_1|verified_api_no_mcp|website_active,,,,,,,,2026-03-13T23:22:50Z,14,active,high,site=active; homepage metadata present; public product/API signal present; docs/developer surface found; status surface found; app/login surface found; careers/jobs surface found; recent content signal found,https://www.ebay.com/ | https://docs.ebay.com | https://www.ebay.com/status | https://www.ebay.com/app | https://www.ebay.com/careers | https://www.ebay.com/blog,1,1,1,1,1,1,1,1,5,13,high,marketplace_term|category_term|consumer_term,,marketplace_term|category_term|consumer_term,0,
20260313T154441Z-ad9651bb,2026-03-13 15:48:09,fashionforhome.de,Fashion For Home,hv_capital,vc_portfolio,ICP 1,7,,,consumer,"Berlin, Germany",exit,,"Fashion For Home is the online shop for designer furniture with an unbeatable price-performance ratio. Fashion For Home offers designer furniture online in Germany and selected international markets at prices which are up to 80% lower than those of traditional furniture stores. In addition to the online shop, local showrooms market the products and brands to consumers in most major German cities. In 2015, Fashion for Home was acquired by Home24.","Fashion For Home is the online shop for designer furniture with an unbeatable price-performance ratio. Fashion For Home offers designer furniture online in Germany and selected international markets at prices which are up to 80% lower than those of traditional furniture stores. In addition to the online shop, local showrooms market the products and brands to consumers in most major German cities. In 2015, Fashion for Home was acquired by Home24.",http://www.fashionforhome.de/,https://www.hvcapital.com/companies,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,scanned_previous,data/master/unscanned_active_domains.txt,2026-03-13T15:29:58Z,blocked,1,403,https,https://fashionforhome.de,,2026-03-13T21:52:48Z,home24,,,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,23,germany_tier1,high|scanned_previous|vc_portfolio|hv_capital|icp_1|germany|eu|verified_api_no_mcp|website_active,,,,,,,,2026-03-13T23:23:31Z,11,active,high,site=blocked; homepage metadata present; public product/API signal present; docs/developer surface found; status surface found; app/login surface found; careers/jobs surface found,https://fashionforhome.de | https://fashionforhome.de/docs | https://fashionforhome.de/status | https://fashionforhome.de/login | https://fashionforhome.de/careers,1,1,1,1,1,1,1,0,4,13,high,commerce_term|category_term|consumer_term,,commerce_term|category_term|consumer_term,0,
20260313T154441Z-ad9651bb,2026-03-13 16:16:06,lazada.com.ph,lazada.com.ph,top_1m,top_1m,ICP 1,1,,,,,,,,,,/app/data/raw/top-1m.csv.zip,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,scanned_previous,data/master/unscanned_active_domains.txt,2026-03-13T15:30:56Z,active,1,200,https,https://www.lazada.com.ph/,,2026-03-13T21:53:15Z,"Lazada Philippines | Best Deals & Free Shipping, Shop Now!","Explore Lazada Philippines for diverse electronics, trending fashion, beauty essentials, and fun toys. Enjoy easy online shopping for genuine products and find amazing offers. Your next favorite item is just a click away",,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,global_tier1,high|scanned_previous|top_1m|icp_1|verified_api_no_mcp|website_active,,,,,,,,2026-03-13T23:27:43Z,13,active,high,site=active; homepage metadata present; public product/API signal present; docs/developer surface found; app/login surface found; careers/jobs surface found; recent content signal found,https://www.lazada.com.ph/ | https://www.lazada.com.ph/docs | https://www.lazada.com.ph/app | https://www.lazada.com.ph/careers | https://www.lazada.com.ph/blog,1,1,1,1,0,1,1,1,5,13,medium,commerce_term|category_term,,commerce_term|category_term,0,
