domain,name,source,source_url,listing_page,detail_url,company_url,description,one_liner,tags,category,website_confidence,explicit_shopify_signal,explicit_shopify_reasons,shopify_detected,shopify_confidence,shopify_signals,shopify_detection_error,shopify_review_needed
adenslab.com,ADEN's LAB,1800dtc,https://1800dtc.com/d2c-dtc-brands,https://1800dtc.com/d2c-dtc-brands?57ee21d2_page=7,https://1800dtc.com/brand/aden-s-lab,https://www.adenslab.com/,"Traditional design processes cannot keep up with the speed required for modern Meta advertising. ADEN’S LAB automates static ad creation, enabling instant production of conversion-ready creatives. This operational advantage allows brands to scale faster while maintaining efficiency.","Traditional design processes cannot keep up with the speed required for modern Meta advertising. ADEN’S LAB automates static ad creation, enabling instant production of conversion-ready creatives. This operational advantage allows brands to scale faster while maintaining efficiency.",Lifestyle,Lifestyle,high,0,,0,none,,,0
bespokepost.com,Bespoke Post,1800dtc,https://1800dtc.com/d2c-dtc-brands,https://1800dtc.com/d2c-dtc-brands,https://1800dtc.com/brand/bespoke-post,https://www.bespokepost.com/,"Bespoke Post is a subscription box service that offers curated boxes of high-quality, unique, and often lifestyle-oriented products to its subscribers. The company is known for providing a personalized and curated shopping experience.","Bespoke Post is a subscription box service that offers curated boxes of high-quality, unique, and often lifestyle-oriented products to its subscribers. The company is known for providing a personalized and curated shopping experience.",Everyday Carry,Everyday Carry,high,0,,0,none,,HTTPError: 403,1
classpass.com,ClassPass,1800dtc,https://1800dtc.com/d2c-dtc-brands,https://1800dtc.com/d2c-dtc-brands,https://1800dtc.com/brand/classpass,https://classpass.com/corporate-wellness,"ClassPass Corporate Wellness gives your team access to the world's largest collection of top-rated gyms, fitness studios and wellness businesses with the ClassPass Corporate Wellness Program.","ClassPass Corporate Wellness gives your team access to the world's largest collection of top-rated gyms, fitness studios and wellness businesses with the ClassPass Corporate Wellness Program.",Fitness,Fitness,high,0,,0,none,,,0
creamco.com.tr,Cream Co.,1800dtc,https://1800dtc.com/d2c-dtc-brands,https://1800dtc.com/d2c-dtc-brands?57ee21d2_page=12,https://1800dtc.com/brand/cream-co,https://creamco.com.tr,"Cream Co. creates fashion collections that blend modern trends with everyday wearability, focusing on clothing that suits both casual and elevated looks. The brand’s offerings include dresses, tops, bottoms, and statement pieces designed for versatile styling. With attention to detail and seasonal design updates, Cream Co. appeals to style-conscious consumers. Their fashion reflects current aesthetics while remaining accessible and wearable.","Cream Co. creates fashion collections that blend modern trends with everyday wearability, focusing on clothing that suits both casual and elevated looks. The brand’s offerings include dresses, tops, bottoms, and statement pieces designed for versatile styling. With attention to detail and seasonal design updates, Cream Co. appeals to style-conscious consumers. Their fashion reflects current aesthetics while remaining accessible and wearable.",Apparel,Apparel,high,0,,0,none,,HTTPError: 429,1
cronecauldron.com,cronecauldron,1800dtc,https://1800dtc.com/d2c-dtc-brands,https://1800dtc.com/d2c-dtc-brands?57ee21d2_page=21,https://1800dtc.com/brand/cronecauldron,https://cronecauldron.com,"cronecauldron blends artistic design with esoteric inspiration to offer unique jewelry and mystical accessories. Their curated collection features handcrafted pieces that reflect folklore, witchcraft aesthetics, and symbolic meaning. The brand marries enchantment with wearable art that appeals to niche style communities. cronecauldron’s offerings resonate with those seeking expressive and meaningful accessories.","cronecauldron blends artistic design with esoteric inspiration to offer unique jewelry and mystical accessories. Their curated collection features handcrafted pieces that reflect folklore, witchcraft aesthetics, and symbolic meaning. The brand marries enchantment with wearable art that appeals to niche style communities. cronecauldron’s offerings resonate with those seeking expressive and meaningful accessories.",Apparel,Apparel,high,0,,0,none,,HTTPError: 429,1
dahabfoods.com,Dahab Foods,1800dtc,https://1800dtc.com/d2c-dtc-brands,https://1800dtc.com/d2c-dtc-brands?57ee21d2_page=15,https://1800dtc.com/brand/dahab-foods,https://dahabfoods.com,"Dahab Foods develops and distributes a range of food products that include snacks, chocolates, and baked goods tailored to diverse consumer tastes. Their offerings combine quality ingredients with appealing flavors that resonate with families and food lovers. The brand emphasizes freshness, taste, and accessibility in its packaged food lineup. Dahab Foods aims to be a household name with products that bring enjoyment to everyday occasions.","Dahab Foods develops and distributes a range of food products that include snacks, chocolates, and baked goods tailored to diverse consumer tastes. Their offerings combine quality ingredients with appealing flavors that resonate with families and food lovers. The brand emphasizes freshness, taste, and accessibility in its packaged food lineup. Dahab Foods aims to be a household name with products that bring enjoyment to everyday occasions.",Food,Food,high,0,,0,none,,HTTPError: 429,1
dogbydrlisa.com,DOG by Dr Lisa,1800dtc,https://1800dtc.com/d2c-dtc-brands,https://1800dtc.com/d2c-dtc-brands?57ee21d2_page=4,https://1800dtc.com/brand/dog-by-dr-lisa,https://dogbydrlisa.com/,DOG by Dr Lisa is an Australian pet care brand focused on grooming and wellness products for dogs. The company offers shampoos and care solutions formulated for canine health. Their products are designed with veterinary insight and gentle ingredients. DOG by Dr Lisa centers its approach around safe and effective pet care.,DOG by Dr Lisa is an Australian pet care brand focused on grooming and wellness products for dogs. The company offers shampoos and care solutions formulated for canine health. Their products are designed with veterinary insight and gentle ingredients. DOG by Dr Lisa centers its approach around safe and effective pet care.,Pet,Pet,high,0,,0,none,,HTTPError: 429,1
drinkhalfday.com,Halfday,1800dtc,https://1800dtc.com/d2c-dtc-brands,https://1800dtc.com/d2c-dtc-brands,https://1800dtc.com/brand/halfday-travel,https://drinkhalfday.com/,A refreshingly sweet iced tea that cuts out the sugar and calories but adds prebiotics for gut health.,A refreshingly sweet iced tea that cuts out the sugar and calories but adds prebiotics for gut health.,Luggage,Luggage,high,0,,0,none,,HTTPError: 429,1
duschdream.com,Dusch Dream,1800dtc,https://1800dtc.com/d2c-dtc-brands,https://1800dtc.com/d2c-dtc-brands?57ee21d2_page=17,https://1800dtc.com/brand/dusch-dream,https://duschdream.com,"Dusch Dream provides bath and shower products that blend everyday functionality with sensory luxury. Their range emphasizes soothing textures, premium materials, and enjoyable self-care routines. The brand focuses on enhancing routine hygiene with products that feel both effective and indulgent. Dusch Dream appeals to consumers who want personal care that supports comfort and daily wellness.","Dusch Dream provides bath and shower products that blend everyday functionality with sensory luxury. Their range emphasizes soothing textures, premium materials, and enjoyable self-care routines. The brand focuses on enhancing routine hygiene with products that feel both effective and indulgent. Dusch Dream appeals to consumers who want personal care that supports comfort and daily wellness.",Beauty,Beauty,high,0,,0,none,,URLError: [Errno 11001] getaddrinfo failed,1
edgemobilitysystem.com,EDGE Mobility System,1800dtc,https://1800dtc.com/d2c-dtc-brands,https://1800dtc.com/d2c-dtc-brands?57ee21d2_page=11,https://1800dtc.com/brand/edge-mobility-system,https://edgemobilitysystem.com,"EDGE Mobility System develops assistive devices and mobility gear that enhance independence and everyday movement. Their product line includes ergonomic solutions aimed at improving quality of life for users with mobility limitations. The brand focuses on engineering reliable, comfortable, and user-friendly products suited for a range of mobility needs. EDGE Mobility System appeals to individuals seeking practical support for active living with dignity and ease.","EDGE Mobility System develops assistive devices and mobility gear that enhance independence and everyday movement. Their product line includes ergonomic solutions aimed at improving quality of life for users with mobility limitations. The brand focuses on engineering reliable, comfortable, and user-friendly products suited for a range of mobility needs. EDGE Mobility System appeals to individuals seeking practical support for active living with dignity and ease.",Health & Wellness,Health & Wellness,high,0,,0,none,,HTTPError: 429,1
