domain,name,source,icp_tier,icp_score,signal_score,signal_trust,tags,batch,team_size,location,one_liner,has_api,has_mcp,outreach_priority,outreach_reason,company_url
10pourcent.fr,10 Percent,speedinvest,ICP 2,8,6,high,Marketplaces & Consumer,2025,,France,"Building the infrastructure that lets FMCG brands own loyalty, data, and customer relationships, not the retailers.",1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.10pourcent.fr/
10xscience.com,10x Science,yc_saas,ICP 1,13,4,high,biotech|enterprise-software|b2b|saas|ai,w2026,3,"San Francisco, CA, USA",The AI-native platform for next-generation protein characterization.,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.ycombinator.com/companies/10x-science
abhi.com.pk,Abhi,speedinvest,ICP 2,7,3,high,"Middle East, Africa & Beyond",2022,,Pakistan,Pakistan's first financial wellness platform focused on democratizing credit for both individuals and businesses.,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://abhi.com.pk/
abwab.ai,Abwab.ai,speedinvest,ICP 2,7,5,high,"Middle East, Africa & Beyond",2025,,Saudi Arabia,AI-driven fintech platform that automates SME lending and credit decisions for banks and lenders across the Middle East and Africa.,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://abwab.ai/
agamonhealth.com,Agamon Health,seedcamp,ICP 1,5,8,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://agamonhealth.com
agreena.com,Agreena,hv_capital,ICP 2,8,5,high,climate,growth,,"København, Denmark","Agreena unlocks the power of soil carbon removals and natural capital to finance the transition to regenerative agriculture. Working closely with partner farmers across 16 European markets and growing, AgreenaCarbon is the world’s leading soil carbon platform. With market-leading satellite monitoring technologies, Agreena’s solutions can support farmers, companies, and governments on the road to net zero.",1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://agreena.com/
agro.club,Agro.Club,speedinvest,ICP 2,7,3,high,"Middle East, Africa & Beyond",2020,,United States of America,Two-sided agricultural marketplace with embedded financial services.,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://agro.club/
airgateway.com,AirGateway,htgf,ICP 1,7,12,high,"",,,Germany,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://airgateway.com/
ampere.cloud,Amperecloud,point_nine,ICP 2,9,8,high,Vertical Software|Climate & Energy,Series A,,"Berlin, Germany","Amperecloud builds the operating system for renewables: a central hub that connects data loggers, inverters, and meters to deliver real-time monitoring, anomaly detection, and reporting across solar portfolios. The platform streamlines operations so asset owners maximize yield and uptime.",1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://ampere.cloud/
andercore.com,Andercore,project_a,ICP 2,9,3,high,"",Pre-Seed,,Berlin,AI-powered industrial trade platform,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.andercore.com/
apperio.com,Apperio,seedcamp,ICP 1,5,8,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://apperio.com
appparadox.com,Paradox,speedinvest,ICP 2,8,3,high,AI & Infra,2025,,Denmark,Replacing fragmented tools with an AI-powered platform that unifies organizational intelligence and enables aligned decision-making.,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://appparadox.com/
archlet.io,Archlet,hv_capital,ICP 2,8,6,high,enterprise,early,,"Zurich, Switzerland","Archlet is the AI-native eSourcing & eAuctions platform that makes procurement fast, transparent, and enjoyable. We help teams move beyond spreadsheets and outdated tools by automating manual work, centralizing data, and surfacing insights where they matter most. With built-in supplier management, approval workflows, and seamless integrations, Archlet is the one tool for all sourcing needs across direct and indirect categories, simple or complex. Procurement teams at companies like PepsiCo, Walmart, Bosch, and FedEx automate RFPs, run events faster, negotiate smarter, and build stronger supplier relationships. The result is more savings, more impact, and a sourcing experience people actually enjoy. This isn’t just better software. It’s a better way to source.",1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://archlet.io/about
arcjet.com,Arcjet,seedcamp,ICP 1,5,11,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://arcjet.com
argalabs.com,Arga Labs,yc_saas,ICP 1,13,7,high,developer-tools|aiops|saas,p2026,3,"San Francisco, CA, USA",The validation framework for AI agents,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.ycombinator.com/companies/arga-labs
argil.ai,Argil,seedcamp,ICP 1,5,10,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://argil.ai
asanarebel.com,Asana Rebel,htgf,ICP 1,7,5,high,"",,,Germany,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.asanarebel.com/
asap.work,Asap.work,speedinvest,ICP 2,7,6,high,Marketplaces & Consumer,2023,,,Connecting construction companies with qualified temporary workers.,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.asap.work
ashr.io,Ashr,yc_saas,ICP 1,13,3,high,developer-tools|data-engineering|devops|saas|artificial-intelligence,w2026,2,"San Francisco, CA, USA",Automated Multi-Modal Testing for Agents,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.ycombinator.com/companies/ashr
atlassian.com,Wikidocs,speedinvest,ICP 2,8,16,high,Exits,2012,,Austria,"Turning web pages into live, editable “docs” services in minutes.",1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.atlassian.com/
atmen.co,Atmen,project_a,ICP 1,7,8,high,"",Seed,,Munich,Automating industrial products certification,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.atmen.co/
auditone.io,AuditOne,htgf,ICP 1,7,8,high,"",,,Germany,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.auditone.io/
autone.io,Autone,speedinvest,ICP 2,7,11,high,AI & Infra,2022,,Italy,An end-to-end operational decision platform for the luxury and broader consumer goods industry.,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.autone.io/
avoltra.io,Avoltra,project_a,ICP 1,7,5,high,"",Pre-Seed,,Munich,Turning energy procurement into a strategic advantage,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://avoltra.io/
azowo.com,Azowo,project_a,ICP 2,7,8,high,"",Seed,,Biberach,The mobility platform for fleet management and mobility sharing,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://azowo.com/en
baserow.io,Baserow,seedcamp,ICP 1,5,3,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://baserow.io
better-auth.com,Better Auth,yc_security,ICP 1,13,11,high,developer-tools|security|open-source,p2025,4,"San Francisco, CA, USA",The authentication framework for TypeScript,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.ycombinator.com/companies/better-auth
bikemap.net,Bikemap,speedinvest,ICP 2,8,3,high,Marketplaces & Consumer,2016,,Austria,"Create, upload, and share your favorite cycle routes.",1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.bikemap.net/
bird.com,Bird,yc_b2b,ICP 3,13,9,high,messaging|api,s2016,500,"Amsterdam, Netherlands",The world’s largest omnichannel communications platform,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.ycombinator.com/companies/bird
bitmovin.com,Bitmovin,speedinvest,ICP 2,8,9,high,AI & Infra,2014,,Austria,Providing the video streaming infrastructure used by global media companies.,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://www.bitmovin.com/
bitpanda.com,Bitpanda,speedinvest,ICP 2,8,12,high,Growth,2020,,Austria,"Europe’s leading platform for investing in crypto, stocks, ETFs and precious metals.",1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.bitpanda.com
brex.com,Brex,yc_fintech,ICP 3,12,14,high,fintech,w2017,1000,"San Francisco, CA, USA","Business accounts, corporate cards, and spend management software.",1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.ycombinator.com/companies/brex
bridge-u.com,BridgeU,seedcamp,ICP 1,5,5,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://bridge-u.com
buynomics.com,Buynomics,seedcamp,ICP 1,5,5,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://buynomics.com
candis.io,Candis,point_nine,ICP 1,10,9,high,Enterprise|Fintech,Seed,,"Berlin, Germany","Founded in 2015, Candis offers a cloud solution for finance teams to manage invoices at scale: centralizing receipt, automating data extraction and duplicate detection, streamlining multi-step approvals, and syncing to accounting and payment tools.",1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://www.candis.io/
carmudi.com.ph,Carmudi,hv_capital,ICP 2,9,3,high,marketplace,growth,,"Berlin, Germany","Carmudi is the vehicle marketplace that offers buyers, sellers and car dealers a platform to find cars, motorcycles and commercial vehicles online. The company is currently active in several Asian countries and Mexico.",1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.carmudi.com.ph
cegid.com,Koalaboox,speedinvest,ICP 2,8,6,high,Exits,2019,,Belgium,"Financing solution for SMEs, integrated into an easy-to-use e-invoicing software.",1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.cegid.com/be/fr/
cerbos.dev,Cerbos,seedcamp,ICP 1,5,7,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://cerbos.dev
chartmogul.com,ChartMogul,point_nine,ICP 2,9,6,high,PLG|CRM,Seed,,"Berlin, Germany","ChartMogul is a subscription analytics platform that unifies billing data to track key SaaS metrics like MRR, churn, LTV, and cohorts, helping thousands of subscription businesses worldwide measure and grow their recurring revenue.",1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://chartmogul.com/
chromotek.com,ChromoTek (Exit),htgf,ICP 1,7,3,high,"",,,Germany,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.chromotek.com/
claimsforce.com,claimsforce,point_nine,ICP 2,12,3,high,Enterprise|Fintech,Pre-seed,,"Hamburg, Germany","claimsforce is a Hamburg-based insurtech providing a SaaS platform for end-to-end claims management. It builds modern claims software for P&C insurers and loss adjusters, offering modular tools to digitize and automate processes, improving cycle times and customer experience across DACH and the UK.",1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.claimsforce.com/
cloudplan.net,cloudplan,htgf,ICP 1,7,6,high,"",,,Germany,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.cloudplan.net
clubzero.co,CLUBZERO,seedcamp,ICP 1,5,3,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://clubzero.co
codacy.com,Codacy,seedcamp,ICP 1,5,9,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://codacy.com
codemagic.io,Nevercode,seedcamp,ICP 1,5,7,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://codemagic.io
codeship.com,Codeship,seedcamp,ICP 1,5,6,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://codeship.com
codility.com,Codility,seedcamp,ICP 1,5,6,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://codility.com
commercetools.com,commercetools (Exit),htgf,ICP 1,7,10,high,"",,,Germany,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.commercetools.com
compresr.ai,Compresr,yc_developer_tools,ICP 1,13,6,high,artificial-intelligence|developer-tools|b2b|enterprise-software,w2026,4,"San Francisco, CA, USA",LLM-native context compression ,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.ycombinator.com/companies/compresr
consola.finance,consola.finance,speedinvest,ICP 2,8,5,high,Exits,2022,,Austria,The first end-to-end finance and accounting collaboration platform for web3 firms.,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://consola.finance/
corelayer.com,Corelayer,yc_developer_tools,ICP 1,13,8,high,enterprise-software|ai|artificial-intelligence|b2b|developer-tools,w2026,2,"San Francisco, CA, USA",AI on-call engineer that debugs using data,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.ycombinator.com/companies/corelayer
covalo.com,Covalo,htgf,ICP 1,7,3,high,"",,,Germany,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.covalo.com
cronofy.com,Cronofy,seedcamp,ICP 1,5,9,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://cronofy.com
crossengage.io,Crossengage,project_a,ICP 1,7,9,high,"",Seed,,Berlin,Orchestrating marketing communications,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.crossengage.io
crossvertise.com,crossvertise (Exit),htgf,ICP 1,7,7,high,"",,,Germany,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.crossvertise.com/
crowd.dev,Crowd.dev,seedcamp,ICP 1,5,10,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://crowd.dev
cyscale.com,Cyscale,seedcamp,ICP 1,5,12,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://cyscale.com
deepscenario.com,DeepScenario,htgf,ICP 1,7,8,high,"",,,Germany,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.deepscenario.com/
deepskill.com,DeepSkill,htgf,ICP 1,7,5,high,"",,,Germany,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://deepskill.com/
didit.me,Didit,yc_saas,ICP 1,13,7,high,artificial-intelligence|saas|identity,w2026,12,"San Francisco, CA, USA",All-in-one identity platform for fast human verification.,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.ycombinator.com/companies/didit
distillabs.ai,Distil Labs,project_a,ICP 1,7,8,high,"",Pre-Seed,,Berlin,Making custom AI development easier,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.distillabs.ai/
djust.io,Djust,speedinvest,ICP 2,8,3,high,AI & Infra,2025,,France,Modular B2B commerce platform automating sales operations,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.djust.io/
doctorflix.de,Doctorflix,htgf,ICP 1,7,5,high,"",,,Germany,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://doctorflix.de/
dottxt.ai,.txt,seedcamp,ICP 1,5,6,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://dottxt.ai
dragandbot.com,drag&bot,speedinvest,ICP 2,9,11,high,Climate Tech & Industrial Tech,2018,,Germany,Supporting production companies to cost-effectively automate with industrial robots.,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.dragandbot.com/
dreamdata.io,Dreamdata,seedcamp,ICP 1,5,15,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://dreamdata.io
dx-i.com,DXI,htgf,ICP 1,7,5,high,"",,,Germany,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.dx-i.com/
emteria.com,Emteria,htgf,ICP 1,7,3,high,"",,,Germany,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://emteria.com/
enapi.com,Enapi,project_a,ICP 1,7,12,high,"",Pre-Seed,,Berlin,Transaction broker for the EV industry,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.enapi.com/
endclose.com,End Close,yc_saas,ICP 1,13,9,high,payments|b2b|saas|fintech|ai,w2026,2,"San Francisco, CA, USA",AI powered reconciliation for high-volume payments companies,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.ycombinator.com/companies/end-close
enercast.de,enercast,htgf,ICP 1,7,6,high,"",,,Germany,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.enercast.de/
evercontact.com,Evercontact,seedcamp,ICP 1,5,6,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://evercontact.com
everyone-energy.de,everyone energy,htgf,ICP 1,7,10,high,"",,,Germany,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://everyone-energy.de/
exelonix.com,exelonix,htgf,ICP 1,7,3,high,"",,,Germany,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.exelonix.com/
ezra.com,Ezra,seedcamp,ICP 1,5,3,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://ezra.com
fabric.so,Fabric,seedcamp,ICP 1,5,12,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://fabric.so
faks.co,Faks,seedcamp,ICP 1,5,8,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://faks.co
filestage.io,Filestage,htgf,ICP 1,7,11,high,"",,,Germany,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://filestage.io/
finary.com,Finary,speedinvest,ICP 2,8,5,high,Fintech & DeFi,2021,,France,"Track all investments automatically and in real-time, regardless of the asset class.",1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://finary.com
fine.so,FINE Legal,htgf,ICP 1,7,5,high,"",,,Germany,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.fine.so 
fion-energy.com,FION Energy,htgf,ICP 1,7,8,high,"",,,Germany,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.fion-energy.com/
fishbrain.com,Fishbrain,seedcamp,ICP 1,5,3,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://fishbrain.com
flagcat.studio,Flagcat,seedcamp,ICP 1,5,3,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://flagcat.studio
flowdesk.co,Flowdesk,speedinvest,ICP 2,8,6,high,Growth,2022,,France,Allowing web3 token issuers to manage their liquidity actively through Market-Making as a Service.,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://flowdesk.co/
flowengineering.com,Flow,seedcamp,ICP 1,5,5,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://flowengineering.com
flyskyflow.com,Skyflow,seedcamp,ICP 1,5,3,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://flyskyflow.com
freqens.com,Freqens,seedcamp,ICP 1,5,9,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://freqens.com
fullview.io,Fullview,seedcamp,ICP 1,5,6,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://fullview.io
gameye.com,Gameye,seedcamp,ICP 1,5,6,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://gameye.com
gdevelop.io,GDevelop,seedcamp,ICP 1,5,9,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://gdevelop.io
getadri.ai,Adri AI,yc_security,ICP 1,13,6,high,compliance|security|sales|artificial-intelligence,w2023,2,"San Francisco, CA, USA",Vanta for AI,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.ycombinator.com/companies/adri-ai
getagent.co.uk,Getagent,seedcamp,ICP 1,5,3,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://getagent.co.uk
getbyrd.com,byrd,speedinvest,ICP 2,9,8,high,Marketplaces & Consumer,2017,,Germany,B2B marketplace for full-service ecommerce fulfillment.,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://getbyrd.com/
getcaya.com,CAYA,hv_capital,ICP 2,9,5,high,enterprise,seed,,"Berlin, Germany","CAYA helps individuals and small businesses to regain control on paperwork, finances and contracts. The company’s platform allows customers to securely receive and store postal mail and all other important communication in one place. By turning received letters into structured data CAYA makes them fully actionable and enables customers to pay invoices or unsubscribe from subscription services with the tap of a finger.",1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.getcaya.com/
getjelly.co.uk,Jelly,seedcamp,ICP 1,5,6,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://getjelly.co.uk
getmundi.app,Mundi,speedinvest,ICP 2,7,3,high,Fintech & DeFi,2024,,Turkey,"Treasury-as-a-Service platform for companies without dedicated treasury teams to optimize funds in high-yield, low-risk financial products.",1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.getmundi.app/
getmurphy.ai,Murphy,seedcamp,ICP 1,5,9,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://getmurphy.ai
getoze.com,Ozé,speedinvest,ICP 2,7,5,high,"Middle East, Africa & Beyond",2021,,Ghana,Empowering African micro-SMEs to grow and scale.,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://getoze.com/
getpliant.com,Pliant,speedinvest,ICP 2,9,5,high,Growth,2025,,Germany,A B2B payments platform built to meet the needs of high-growth businesses and embedded finance players.,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.getpliant.com/
getrollee.com,Rollee,speedinvest,ICP 2,8,9,high,Fintech & DeFi,2022,,France,Helping financial institutions to make fairer decisions by using the power of employment data.,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.getrollee.com/
gigs.com,Gigs,speedinvest,ICP 2,7,18,high,Growth,2021,,United States of America,Empowering businesses to effortlessly embed telecom capabilities into their platforms.,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://gigs.com/
gitbook.com,GitBook,point_nine,ICP 2,8,15,high,Dev Tools & Infra,Seed,,"Lyon, France","Founded in 2014 in Lyon, GitBook is a leading platform for technical documentation and knowledge bases. With Markdown-first editing, Git integrations, and built-in AI tools, it helps teams share and maintain accurate, discoverable documentation at scale.",1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.gitbook.com/
godiligent.ai,Diligent,speedinvest,ICP 2,7,9,high,Fintech & DeFi,2025,,United Kingdom,The autonomous AI platform for financial crime compliance.,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.godiligent.ai/
goodays.co,Goodays,point_nine,ICP 2,8,11,high,Enterprise|CRM,Seed,,"Paris, France","Goodays (formerly Critizr) is a European customer experience management platform that helps retailers and service brands capture feedback, empower local teams to act, and improve loyalty and NPS at scale. Founded in 2012, it supports leading multi‑location brands across Europe.",1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://goodays.co/
gorodeo.app,Rodeo,seedcamp,ICP 1,5,6,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://gorodeo.app
gosuperscript.com,superscript,seedcamp,ICP 1,5,10,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://gosuperscript.com
gozauber.com,Zauber,point_nine,ICP 2,9,6,high,Enterprise|AI|Logistics,Pre-seed,,"Berlin, Germany","Zauber is building the AI operating system for logistics, unifying tools like spot rate requests and TMS booking to automate planning and execution across the supply chain. Founded by Erik Muttersbach, co-founder of Forto, one of Europe’s largest digital freight forwarders, Zauber applies deep industry expertise to streamline global freight workflows through an integrated, AI-first platform.",1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://gozauber.com/
grabcad.com,Grabcad,seedcamp,ICP 1,5,6,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://grabcad.com
graphy.app,Graphy,seedcamp,ICP 1,5,7,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://graphy.app
gridscale.io,gridscale,htgf,ICP 1,7,4,high,"",,,Germany,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://gridscale.io/
griffin.com,Griffin,seedcamp,ICP 1,5,9,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://griffin.com
gronda.eu,gronda,speedinvest,ICP 2,8,3,high,Marketplaces & Consumer,2015,,Austria,Career platform for the hospitality and gastronomy sector.,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://gronda.eu/
grover.com,Grover,seedcamp,ICP 1,5,3,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://grover.com
gusto.com,Gusto,yc_b2b,ICP 3,12,9,high,b2b|payroll|health-insurance,w2012,2400,"San Francisco, CA, USA",Provides growing businesses with everything to take care of their team,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.ycombinator.com/companies/gusto
haaven.com,Haaven,speedinvest,ICP 2,8,6,high,Marketplaces & Consumer,2024,,Netherlands,"A homebuilding platform surrounding customers with the best architects, engineers, and builders.",1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://www.haaven.com
hadrian.io,Hadrian,hv_capital,ICP 2,8,11,high,frontierTech,early,,"Amsterdam, Netherlands","Hadrian, founded in 2021, is a hacker-led cybersecurity startup that offers an event-based, offensive security platform in a SaaS model.",1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://hadrian.io
