domain,name,source,icp_tier,icp_score,signal_score,signal_trust,signals,tags,batch,team_size,location,one_liner,description,company_url,source_url
deel.com,Zeitgold,b2venture,ICP 2,12,9,high,api|developer|app|status,SaaS|AI & Machine Learning|Trade Sale,2019,,Germany,"With Zeitgold, entrepreneurs and tax consultants work together digitally. The intuitive software ensures smooth workflows, more efficient communication and creates free capacities on both sides with precise booking suggestions and automated accounting processes. Zeitgold was acquired by the US HR platform Deel.","With Zeitgold, entrepreneurs and tax consultants work together digitally. The intuitive software ensures smooth workflows, more efficient communication and creates free capacities on both sides with precise booking suggestions and automated accounting processes. Zeitgold was acquired by the US HR platform Deel.",https://www.deel.com/,https://www.b2venture.vc/portfolio
ninox.com,Ninox,b2venture,ICP 2,12,9,high,api|docs|app|status,Automation|SaaS,2019,,Germany,Ninox is a no-code platform for developing database focused programs. Ninox runs on all devices. Even when there is no Internet connection.,Ninox is a no-code platform for developing database focused programs. Ninox runs on all devices. Even when there is no Internet connection.,https://ninox.com/en,https://www.b2venture.vc/portfolio
atlasmetrics.io,Atlas Metrics,b2venture,ICP 2,12,8,high,auth|app|dashboard|status,Climate|SaaS,2023,,Germany,"Atlas Metrics is building a global data infrastructure that is universal in its conception, enabling companies to easily collect, report and exchange any ESG data.","Atlas Metrics is building a global data infrastructure that is universal in its conception, enabling companies to easily collect, report and exchange any ESG data.",https://www.atlasmetrics.io/,https://www.b2venture.vc/portfolio
yendou.io,Yendou,b2venture,ICP 2,12,8,high,api|auth|app,AI & Machine Learning|Healthcare|SaaS,2024,,Germany,"Yendou is a clinical operations automation platform for the life sciences industry. Designed as the first customer relationship management (CRM) tool in the area of research and development, Yendou helps clinical operations teams accelerate and scale site selection to activation timelines for oncology clinical trials globally.","Yendou is a clinical operations automation platform for the life sciences industry. Designed as the first customer relationship management (CRM) tool in the area of research and development, Yendou helps clinical operations teams accelerate and scale site selection to activation timelines for oncology clinical trials globally.",https://www.yendou.io/,https://www.b2venture.vc/portfolio
upvest.co,UPVEST,hv_capital,ICP 2,12,7,high,api|docs|status,fintech,early,,"Berlin, Germany","Upvest’s blockchain APIs enable businesses to offer seamless blockchain wallets, transactions, smart contracts and data to their end users (B2B2C model). Upvest empowers anyone to access major blockchains like Bitcoin and Ethereum instantly without prior knowledge. One of the first use cases is fintechs and blockchain apps where the Upvest wallet infrastructure can be integrated as a self-custody solution with recovery features for the end-users, thereby replacing an intermediary bank.","Upvest’s blockchain APIs enable businesses to offer seamless blockchain wallets, transactions, smart contracts and data to their end users (B2B2C model). Upvest empowers anyone to access major blockchains like Bitcoin and Ethereum instantly without prior knowledge. One of the first use cases is fintechs and blockchain apps where the Upvest wallet infrastructure can be integrated as a self-custody solution with recovery features for the end-users, thereby replacing an intermediary bank.",https://www.upvest.co/,https://www.hvcapital.com/companies
algolia.com,Algolia,yc_saas,ICP 3,12,6,high,docs|dashboard|status,developer-tools|saas|b2b,w2014,810,"San Francisco, CA, USA",A developer-friendly and enterprise-grade search API.,"Our mission is to make every search interaction meaningful & rewarding, through developer-friendly and enterprise-grade APIs.

Algolia is the leading Search & Discovery API for websites and mobile apps. We help the most innovative companies across e-commerce, media and SaaS industries create powerful, relevant and scalable discovery experiences for their users. Unlike other solutions, our hosted platform reduces the complexities of building and scaling a fast, relevant digital experience and helps teams accelerate development time. More than 9,000 companies like Under Armour, Twitch, Periscope, Medium and Stripe rely on Algolia to manage 50+ billion search queries a month.

Founded in 2012, we're backed by $184M in funding from Accel Partners, Alven Capital, Point Nine Capital and Storm Ventures. The team is headquartered in San Francisco with offices in Paris, London, New York, and Atlanta. To learn more, visit www.algolia.com.

---
We’re looking for talented, passionate people to build the world’s best search technology. As an ownership-driven company, we seek team members who thrive under autonomy and diversity. 

We're committed to building an inclusive and diverse workplace. We care about each other and the world around us, and embrace talented people regardless of their race, age, ancestry, religion, sex, gender identity, sexual orientation, marital status, color, veteran status, disability and socioeconomic background",https://www.ycombinator.com/companies/algolia,https://www.ycombinator.com/companies/industry/SaaS
procuros.io,Procuros,b2venture,ICP 2,12,6,high,api|docs,SaaS|Supply Chain,2021,,Germany,Procuros is a SaaS company that builds infrastructure to connect companies to facilitate B2B transactions digitally. Businesses of all sizes use the Procuros API platform to automate their operations. A single connection empowers customers to automatically exchange trade transactions with all their partners and save time during data entry.,Procuros is a SaaS company that builds infrastructure to connect companies to facilitate B2B transactions digitally. Businesses of all sizes use the Procuros API platform to automate their operations. A single connection empowers customers to automatically exchange trade transactions with all their partners and save time during data entry.,https://procuros.io/,https://www.b2venture.vc/portfolio
exporo.de,Exporo,hv_capital,ICP 2,12,5,high,auth|app,fintech,growth,,"Hamburg, Germany","Exporo is the leading German crowdfunding platform for real estate investments. Exporo enables retail investors to participate in attractive real estate investment opportunities with amounts as low as 500 Euro, while at the same time opening up a faster and cheaper source of funding for real estate developers.","Exporo is the leading German crowdfunding platform for real estate investments. Exporo enables retail investors to participate in attractive real estate investment opportunities with amounts as low as 500 Euro, while at the same time opening up a faster and cheaper source of funding for real estate developers.",https://www.exporo.de/,https://www.hvcapital.com/companies
sharpist.com,Sharpist,b2venture,ICP 2,12,5,high,api|app,EdTech|People|SaaS,2018,,Germany,Sharpist supports organisations with developing their employees into inspiring leaders. Their mobile remote coaching platform enables personalised learning for your entire workforce: from anywhere and at any time.,Sharpist supports organisations with developing their employees into inspiring leaders. Their mobile remote coaching platform enables personalised learning for your entire workforce: from anywhere and at any time.,https://www.sharpist.com/,https://www.b2venture.vc/portfolio
tapline.io,Tapline,antler,ICP 2,12,5,high,api|app,FinTech,2021,,Germany,Digital funding platform providing subscription-based companies access to instant capital,Digital funding platform providing subscription-based companies access to instant capital,https://tapline.io,https://www.antler.co/portfolio
claimsforce.com,claimsforce,point_nine,ICP 2,12,3,high,api,Enterprise|Fintech,Pre-seed,,"Hamburg, Germany","claimsforce is a Hamburg-based insurtech providing a SaaS platform for end-to-end claims management. It builds modern claims software for P&C insurers and loss adjusters, offering modular tools to digitize and automate processes, improving cycle times and customer experience across DACH and the UK.","claimsforce is a Hamburg-based insurtech providing a SaaS platform for end-to-end claims management. It builds modern claims software for P&C insurers and loss adjusters, offering modular tools to digitize and automate processes, improving cycle times and customer experience across DACH and the UK.",https://www.claimsforce.com/,https://www.pointnine.com/companies
compeon.de,COMPEON,b2venture,ICP 2,12,3,high,platform,FinTech,2015,,Germany,"COMPEON is the leading product- and provider-independent full-service provider for SME financing in Germany. Companies and their advisors, freelancers and self-employed persons can quickly find the best financing solution and the best conditions in terms of interest rates, terms, equity and collateral through their platform and with the help of their independent advice.","COMPEON is the leading product- and provider-independent full-service provider for SME financing in Germany. Companies and their advisors, freelancers and self-employed persons can quickly find the best financing solution and the best conditions in terms of interest rates, terms, equity and collateral through their platform and with the help of their independent advice.",https://www.compeon.de/,https://www.b2venture.vc/portfolio
decentriq.com,Decentriq,b2venture,ICP 2,11,9,high,api|docs|platform,SaaS|BI & Analytics|Security,2020,,Switzerland,"Decentriq, the “Switzerland of data”, is a confidential data collaboration platform. By enforcing compliance and control with advanced privacy technologies, it helps enterprises scale data collaborations across organizational boundaries and unlock value from data that would otherwise be too sensitive to use. Decentriq powers data collaboration in the world’s most privacy- and compliance-conscious industries, including media, healthcare, banking, and the public sector.","Decentriq, the “Switzerland of data”, is a confidential data collaboration platform. By enforcing compliance and control with advanced privacy technologies, it helps enterprises scale data collaborations across organizational boundaries and unlock value from data that would otherwise be too sensitive to use. Decentriq powers data collaboration in the world’s most privacy- and compliance-conscious industries, including media, healthcare, banking, and the public sector.",https://www.decentriq.com/,https://www.b2venture.vc/portfolio
rekordsoftware.com,rekord,point_nine,ICP 2,11,9,high,docs|auth|app|status,Enterprise|Fintech|AI|Vertical Software,Pre-seed,,"Dublin, Ireland","Rekord is an AI-native platform that enables financial institutions to design, scale, and monitor intelligent decision flows across underwriting, onboarding, compliance, and fraud. It unifies models, data, and policies to operationalize AI with guardrails and real-time observability.","Rekord is an AI-native platform that enables financial institutions to design, scale, and monitor intelligent decision flows across underwriting, onboarding, compliance, and fraud. It unifies models, data, and policies to operationalize AI with guardrails and real-time observability.",https://www.rekordsoftware.com/,https://www.pointnine.com/companies
