domain,name,source,icp_tier,icp_score,signal_score,signal_trust,tags,batch,team_size,location,one_liner,has_api,has_mcp,outreach_priority,outreach_reason,company_url
10pourcent.fr,10 Percent,speedinvest,ICP 2,7,6,high,Marketplaces & Consumer,2025,,France,"Building the infrastructure that lets FMCG brands own loyalty, data, and customer relationships, not the retailers.",1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.10pourcent.fr/
10xscience.com,10x Science,yc_saas,ICP 1,13,4,high,biotech|enterprise-software|b2b|saas|ai,w2026,3,"San Francisco, CA, USA",The AI-native platform for next-generation protein characterization.,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.ycombinator.com/companies/10x-science
abhi.com.pk,Abhi,speedinvest,ICP 2,7,3,high,"Middle East, Africa & Beyond",2022,,Pakistan,Pakistan's first financial wellness platform focused on democratizing credit for both individuals and businesses.,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://abhi.com.pk/
abwab.ai,Abwab.ai,speedinvest,ICP 2,7,5,high,"Middle East, Africa & Beyond",2025,,Saudi Arabia,AI-driven fintech platform that automates SME lending and credit decisions for banks and lenders across the Middle East and Africa.,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://abwab.ai/
agamonhealth.com,Agamon Health,seedcamp,ICP 1,5,8,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://agamonhealth.com
agro.club,Agro.Club,speedinvest,ICP 2,7,3,high,"Middle East, Africa & Beyond",2020,,United States of America,Two-sided agricultural marketplace with embedded financial services.,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://agro.club/
andercore.com,Andercore,project_a,ICP 2,7,3,high,"",Pre-Seed,,Berlin,AI-powered industrial trade platform,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.andercore.com/
apperio.com,Apperio,seedcamp,ICP 1,5,8,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://apperio.com
appparadox.com,Paradox,speedinvest,ICP 2,7,3,high,AI & Infra,2025,,Denmark,Replacing fragmented tools with an AI-powered platform that unifies organizational intelligence and enables aligned decision-making.,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://appparadox.com/
arcjet.com,Arcjet,seedcamp,ICP 1,5,11,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://arcjet.com
argalabs.com,Arga Labs,yc_saas,ICP 1,13,7,high,developer-tools|aiops|saas,p2026,3,"San Francisco, CA, USA",The validation framework for AI agents,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.ycombinator.com/companies/arga-labs
argil.ai,Argil,seedcamp,ICP 1,5,10,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://argil.ai
asap.work,Asap.work,speedinvest,ICP 2,7,6,high,Marketplaces & Consumer,2023,,,Connecting construction companies with qualified temporary workers.,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.asap.work
ashr.io,Ashr,yc_saas,ICP 1,13,3,high,developer-tools|data-engineering|devops|saas|artificial-intelligence,w2026,2,"San Francisco, CA, USA",Automated Multi-Modal Testing for Agents,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.ycombinator.com/companies/ashr
atlassian.com,Wikidocs,speedinvest,ICP 2,7,16,high,Exits,2012,,Austria,"Turning web pages into live, editable “docs” services in minutes.",1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.atlassian.com/
autone.io,Autone,speedinvest,ICP 2,7,11,high,AI & Infra,2022,,Italy,An end-to-end operational decision platform for the luxury and broader consumer goods industry.,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.autone.io/
azowo.com,Azowo,project_a,ICP 2,7,8,high,"",Seed,,Biberach,The mobility platform for fleet management and mobility sharing,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://azowo.com/en
baserow.io,Baserow,seedcamp,ICP 1,5,3,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://baserow.io
better-auth.com,Better Auth,yc_security,ICP 1,13,11,high,developer-tools|security|open-source,p2025,4,"San Francisco, CA, USA",The authentication framework for TypeScript,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.ycombinator.com/companies/better-auth
bikemap.net,Bikemap,speedinvest,ICP 2,7,3,high,Marketplaces & Consumer,2016,,Austria,"Create, upload, and share your favorite cycle routes.",1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.bikemap.net/
bird.com,Bird,yc_b2b,ICP 3,12,9,high,messaging|api,s2016,500,"Amsterdam, Netherlands",The world’s largest omnichannel communications platform,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.ycombinator.com/companies/bird
bitmovin.com,Bitmovin,speedinvest,ICP 2,7,9,high,AI & Infra,2014,,Austria,Providing the video streaming infrastructure used by global media companies.,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://www.bitmovin.com/
bitpanda.com,Bitpanda,speedinvest,ICP 2,7,12,high,Growth,2020,,Austria,"Europe’s leading platform for investing in crypto, stocks, ETFs and precious metals.",1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.bitpanda.com
brex.com,Brex,yc_fintech,ICP 3,12,14,high,fintech,w2017,1000,"San Francisco, CA, USA","Business accounts, corporate cards, and spend management software.",1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.ycombinator.com/companies/brex
bridge-u.com,BridgeU,seedcamp,ICP 1,5,5,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://bridge-u.com
buynomics.com,Buynomics,seedcamp,ICP 1,5,5,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://buynomics.com
candis.io,Candis,point_nine,ICP 1,8,9,high,Enterprise|Fintech,Seed,,"Berlin, Germany","Founded in 2015, Candis offers a cloud solution for finance teams to manage invoices at scale: centralizing receipt, automating data extraction and duplicate detection, streamlining multi-step approvals, and syncing to accounting and payment tools.",1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://www.candis.io/
cegid.com,Koalaboox,speedinvest,ICP 2,7,6,high,Exits,2019,,Belgium,"Financing solution for SMEs, integrated into an easy-to-use e-invoicing software.",1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.cegid.com/be/fr/
cerbos.dev,Cerbos,seedcamp,ICP 1,5,7,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://cerbos.dev
claimsforce.com,claimsforce,point_nine,ICP 2,10,3,high,Enterprise|Fintech,Pre-seed,,"Hamburg, Germany","claimsforce is a Hamburg-based insurtech providing a SaaS platform for end-to-end claims management. It builds modern claims software for P&C insurers and loss adjusters, offering modular tools to digitize and automate processes, improving cycle times and customer experience across DACH and the UK.",1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.claimsforce.com/
clubzero.co,CLUBZERO,seedcamp,ICP 1,5,3,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://clubzero.co
codacy.com,Codacy,seedcamp,ICP 1,5,9,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://codacy.com
codemagic.io,Nevercode,seedcamp,ICP 1,5,7,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://codemagic.io
codeship.com,Codeship,seedcamp,ICP 1,5,6,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://codeship.com
codility.com,Codility,seedcamp,ICP 1,5,6,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://codility.com
compresr.ai,Compresr,yc_developer_tools,ICP 1,13,6,high,artificial-intelligence|developer-tools|b2b|enterprise-software,w2026,4,"San Francisco, CA, USA",LLM-native context compression ,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.ycombinator.com/companies/compresr
consola.finance,consola.finance,speedinvest,ICP 2,7,5,high,Exits,2022,,Austria,The first end-to-end finance and accounting collaboration platform for web3 firms.,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://consola.finance/
