domain,name,source,source_url,listing_page,detail_url,company_url,description,one_liner,tags,category,website_confidence,explicit_shopify_signal,explicit_shopify_reasons
bearaby.com,Bearaby,1800dtc,https://1800dtc.com/d2c-dtc-brands,https://1800dtc.com/d2c-dtc-brands?57ee21d2_page=2,https://1800dtc.com/brand/bearaby,https://bearaby.com/,"Bearaby believe that self-care should be joyful, good design should be functional, and deep revitalizing rest should be natural and drug-free.","Bearaby believe that self-care should be joyful, good design should be functional, and deep revitalizing rest should be natural and drug-free.",Home,Home,high,0,
bespokepost.com,Bespoke Post,1800dtc,https://1800dtc.com/d2c-dtc-brands,https://1800dtc.com/d2c-dtc-brands,https://1800dtc.com/brand/bespoke-post,https://www.bespokepost.com/,"Bespoke Post is a subscription box service that offers curated boxes of high-quality, unique, and often lifestyle-oriented products to its subscribers. The company is known for providing a personalized and curated shopping experience.","Bespoke Post is a subscription box service that offers curated boxes of high-quality, unique, and often lifestyle-oriented products to its subscribers. The company is known for providing a personalized and curated shopping experience.",Everyday Carry,Everyday Carry,high,0,
carawayhome.com,Caraway,1800dtc,https://1800dtc.com/d2c-dtc-brands,https://1800dtc.com/d2c-dtc-brands?57ee21d2_page=2,https://1800dtc.com/brand/caraway,https://www.carawayhome.com/,"Good looking, clean cooking. Caraway is on a mission to craft well-designed, non-toxic ceramic cookware that thoughtfully raises the standards of what you cook with.","Good looking, clean cooking. Caraway is on a mission to craft well-designed, non-toxic ceramic cookware that thoughtfully raises the standards of what you cook with.",Cookware,Cookware,high,0,
casper.com,Casper,1800dtc,https://1800dtc.com/d2c-dtc-brands,https://1800dtc.com/d2c-dtc-brands?57ee21d2_page=2,https://1800dtc.com/brand/casper,https://casper.com/,"Casper believes sleep is the superpower that charges everything people do. The more they learn, the more they’re sure: Great sleep changes everything. Their mattresses are heavenly.","Casper believes sleep is the superpower that charges everything people do. The more they learn, the more they’re sure: Great sleep changes everything. Their mattresses are heavenly.",Home,Home,high,0,
classpass.com,ClassPass,1800dtc,https://1800dtc.com/d2c-dtc-brands,https://1800dtc.com/d2c-dtc-brands,https://1800dtc.com/brand/classpass,https://classpass.com/corporate-wellness,"ClassPass Corporate Wellness gives your team access to the world's largest collection of top-rated gyms, fitness studios and wellness businesses with the ClassPass Corporate Wellness Program.","ClassPass Corporate Wellness gives your team access to the world's largest collection of top-rated gyms, fitness studios and wellness businesses with the ClassPass Corporate Wellness Program.",Fitness,Fitness,high,0,
cometeer.com,Cometeer,1800dtc,https://1800dtc.com/d2c-dtc-brands,https://1800dtc.com/d2c-dtc-brands?57ee21d2_page=2,https://1800dtc.com/brand/cometeer,https://cometeer.com/,"Cometeer works with an A-list of flavor-obsessed roasters from across the country. Using their beans and in-house technology, Cometeer creates exceptionally delicious coffee.","Cometeer works with an A-list of flavor-obsessed roasters from across the country. Using their beans and in-house technology, Cometeer creates exceptionally delicious coffee.",Beverage,Beverage,high,0,
drinkhalfday.com,Halfday,1800dtc,https://1800dtc.com/d2c-dtc-brands,https://1800dtc.com/d2c-dtc-brands,https://1800dtc.com/brand/halfday-travel,https://drinkhalfday.com/,A refreshingly sweet iced tea that cuts out the sugar and calories but adds prebiotics for gut health.,A refreshingly sweet iced tea that cuts out the sugar and calories but adds prebiotics for gut health.,Luggage,Luggage,high,0,
glossier.com,Glossier,1800dtc,https://1800dtc.com/d2c-dtc-brands,https://1800dtc.com/d2c-dtc-brands?57ee21d2_page=2,https://1800dtc.com/brand/glossier,https://www.glossier.com/,"Glossier make products designed with your real beauty routine in mind. They offer skincare, makeup, body care, and fragrance, all painstakingly perfected to be worthy of your bathroom shelf.","Glossier make products designed with your real beauty routine in mind. They offer skincare, makeup, body care, and fragrance, all painstakingly perfected to be worthy of your bathroom shelf.",Beauty,Beauty,high,0,
rejuvia.co,Rejuvia,1800dtc,https://1800dtc.com/d2c-dtc-brands,https://1800dtc.com/d2c-dtc-brands,https://1800dtc.com/brand/rejuvia,https://www.rejuvia.co/,"Rejuvia creates the world-first, all-natural oral sleep spray that helps you fall asleep faster, sleep through the night and wake up feeling refreshed.","Rejuvia creates the world-first, all-natural oral sleep spray that helps you fall asleep faster, sleep through the night and wake up feeling refreshed.",Health & Wellness,Health & Wellness,high,0,
ridge.com,Ridge,1800dtc,https://1800dtc.com/d2c-dtc-brands,https://1800dtc.com/d2c-dtc-brands?57ee21d2_page=2,https://1800dtc.com/brand/ridge,https://ridge.com/,"The Ridge Wallet is a slim wallet designed to help cut down on the bulk of a traditional leather wallet. It holds up to 12 cards and also includes a money clip. The dual metal plate design blocks RFID signals, protecting your card's security. It's lighter and far less bulky than a traditional leather wallet.","The Ridge Wallet is a slim wallet designed to help cut down on the bulk of a traditional leather wallet. It holds up to 12 cards and also includes a money clip. The dual metal plate design blocks RFID signals, protecting your card's security. It's lighter and far less bulky than a traditional leather wallet.",Everyday Carry,Everyday Carry,high,0,
