domain,name,source,source_url,portfolio_url,company_url,description,one_liner,tags,stage,status,location,country,city,investment_year,founded_year,website_confidence
21diamonds.de,21Diamonds,hv_capital,https://www.hvcapital.com/companies,https://www.hvcapital.com/,http://www.21diamonds.de/,"21Diamonds is an online jeweler allowing its customers to create individual genuine jewelry. Users can mix-and-match from a wide selection of gemstones and various precious metals and thereby create their perfect ring, necklace or earring.","21Diamonds is an online jeweler allowing its customers to create individual genuine jewelry. Users can mix-and-match from a wide selection of gemstones and various precious metals and thereby create their perfect ring, necklace or earring.",consumer,exit,exit,"Munich, Germany",Germany,Munich,2011,2011,high
7trends.de,7trends,hv_capital,https://www.hvcapital.com/companies,https://www.hvcapital.com/,http://www.7trends.de/,"7trends is an online fashion shop that offers a wide range of accessories, such as scarves, bags and caps.","7trends is an online fashion shop that offers a wide range of accessories, such as scarves, bags and caps.",consumer,exit,exit,"Berlin, Germany",Germany,Berlin,2009,2009,high
actio.com,Actio,hv_capital,https://www.hvcapital.com/companies,https://www.hvcapital.com/,https://actio.com,"actio was founded in 2019 by Nikita Fahrenholz and Daniel Stahlkopf, who had previously worked on successful projects such as Delivery Hero, Tiger Facility Services and foodspring and are united by their enthusiasm for fitness, mindfulness, and self-optimization. The actio app is based on specially designed VoIP calling software that connects users with real coaches worldwide, bringing them together in group calls. Zoom meets Peloton Interactive.","actio was founded in 2019 by Nikita Fahrenholz and Daniel Stahlkopf, who had previously worked on successful projects such as Delivery Hero, Tiger Facility Services and foodspring and are united by their enthusiasm for fitness, mindfulness, and self-optimization. The actio app is based on specially designed VoIP calling software that connects users with real coaches worldwide, bringing them together in group calls. Zoom meets Peloton Interactive.",consumer,exit,exit,"Berlin, Germany",Germany,Berlin,2020,2019,high
adscale.com,AdScale,hv_capital,https://www.hvcapital.com/companies,https://www.hvcapital.com/,https://adscale.com,"As Germany’s leading real time market place for online advertising, AdScale brings advertisers and website providers (publishers) together and pinpoints advertising in Internet making it more effective. In doing this, the auction system guarantees full transparency and fair prices. In 2013, AdScale was acquired by Ströer Digital Group.","As Germany’s leading real time market place for online advertising, AdScale brings advertisers and website providers (publishers) together and pinpoints advertising in Internet making it more effective. In doing this, the auction system guarantees full transparency and fair prices. In 2013, AdScale was acquired by Ströer Digital Group.",enterprise,exit,exit,"Munich, Germany",Germany,Munich,2007,2007,high
again.bio,again,hv_capital,https://www.hvcapital.com/companies,https://www.hvcapital.com/,https://again.bio/,"Again combines millennial-old bacteria with cutting-edge technology to ferment CO2 into green Acetate, a precursor chemical for huge end markets like plastics, apparel, and pharmaceuticals.","Again combines millennial-old bacteria with cutting-edge technology to ferment CO2 into green Acetate, a precursor chemical for huge end markets like plastics, apparel, and pharmaceuticals.",frontierTech,early,early,"Copenhagen, Denmark",Denmark,Copenhagen,2024,2021,high
agreena.com,Agreena,hv_capital,https://www.hvcapital.com/companies,https://www.hvcapital.com/,https://agreena.com/,"Agreena unlocks the power of soil carbon removals and natural capital to finance the transition to regenerative agriculture. Working closely with partner farmers across 16 European markets and growing, AgreenaCarbon is the world’s leading soil carbon platform. With market-leading satellite monitoring technologies, Agreena’s solutions can support farmers, companies, and governments on the road to net zero.","Agreena unlocks the power of soil carbon removals and natural capital to finance the transition to regenerative agriculture. Working closely with partner farmers across 16 European markets and growing, AgreenaCarbon is the world’s leading soil carbon platform. With market-leading satellite monitoring technologies, Agreena’s solutions can support farmers, companies, and governments on the road to net zero.",climate,growth,growth,"København, Denmark",Denmark,København,2023,2017,high
alasco.de,Alasco,hv_capital,https://www.hvcapital.com/companies,https://www.hvcapital.com/,https://www.alasco.de/,"Alasco develops a web-based tool with which project controllers and developers can trace all costs throughout all construction phases. The company’s software replaces manual processes through digital workflows so that project controllers can, e.g. when it comes to auditing, save themselves time and avoid mistakes. Alasco offers a central source of information for all financial data involved in construction projects – information that building owners can access at any time to get a current overview of costs.","Alasco develops a web-based tool with which project controllers and developers can trace all costs throughout all construction phases. The company’s software replaces manual processes through digital workflows so that project controllers can, e.g. when it comes to auditing, save themselves time and avoid mistakes. Alasco offers a central source of information for all financial data involved in construction projects – information that building owners can access at any time to get a current overview of costs.",enterprise,early,early,"Munich, Germany",Germany,Munich,2018,2018,high
alphin.com,alphin,hv_capital,https://www.hvcapital.com/companies,https://www.hvcapital.com/,https://www.alphin.com/,"alphin is building the operating system for local business marketing. Through alphin, local businesses get the opportunity to showcase their company, products and services to potential customers via different digital services and set their customer lifecycle management on autopilot. alphins mission? To empower local businesses around the world to focus on what they really love - their business. Currently, alphin enables modern marketing for 800+ local businesses in Germany, Austria and the UK. alphin was founded in 2017, is headquartered in Berlin and generates a 7-figure ARR already today.","alphin is building the operating system for local business marketing. Through alphin, local businesses get the opportunity to showcase their company, products and services to potential customers via different digital services and set their customer lifecycle management on autopilot. alphins mission? To empower local businesses around the world to focus on what they really love - their business. Currently, alphin enables modern marketing for 800+ local businesses in Germany, Austria and the UK. alphin was founded in 2017, is headquartered in Berlin and generates a 7-figure ARR already today.",enterprise,early,early,"Berlin, Germany",Germany,Berlin,2018,2017,high
archlet.io,Archlet,hv_capital,https://www.hvcapital.com/companies,https://www.hvcapital.com/,https://archlet.io/about,"Archlet is the AI-native eSourcing & eAuctions platform that makes procurement fast, transparent, and enjoyable. We help teams move beyond spreadsheets and outdated tools by automating manual work, centralizing data, and surfacing insights where they matter most. With built-in supplier management, approval workflows, and seamless integrations, Archlet is the one tool for all sourcing needs across direct and indirect categories, simple or complex. Procurement teams at companies like PepsiCo, Walmart, Bosch, and FedEx automate RFPs, run events faster, negotiate smarter, and build stronger supplier relationships. The result is more savings, more impact, and a sourcing experience people actually enjoy. This isn’t just better software. It’s a better way to source.","Archlet is the AI-native eSourcing & eAuctions platform that makes procurement fast, transparent, and enjoyable. We help teams move beyond spreadsheets and outdated tools by automating manual work, centralizing data, and surfacing insights where they matter most. With built-in supplier management, approval workflows, and seamless integrations, Archlet is the one tool for all sourcing needs across direct and indirect categories, simple or complex. Procurement teams at companies like PepsiCo, Walmart, Bosch, and FedEx automate RFPs, run events faster, negotiate smarter, and build stronger supplier relationships. The result is more savings, more impact, and a sourcing experience people actually enjoy. This isn’t just better software. It’s a better way to source.",enterprise,early,early,"Zurich, Switzerland",Switzerland,Zurich,2021,2018,high
arx-robotics.com,ARX Robotics,hv_capital,https://www.hvcapital.com/companies,https://www.hvcapital.com/,https://www.arx-robotics.com/,"ARX Robotics develops autonomous unmanned ground systems with scalable hardware components and modular software architectures. Our solutions are designed to meet the evolving demands of defense and commercial applications with precision and adaptability. At the core of ARX is Mithra OS, our AI-powered operating system that bridges legacy platforms with cutting-edge technologies. Mithra enables seamless autonomy, interoperability, and real-time adaptability, providing a scalable solution to robotize legacy systems and support modernization efforts across domains. Complementing this is the Gereon system, a proven platform supporting reconnaissance, logistics, recovery, and crisis response. Together, these technologies empower operators in high-pressure missions with reliable, mission-critical capabilities. Deployed in NATO, EU, and civilian initiatives, ARX delivers scalable, dual-use systems that enhance operational resilience and decision-making. From safeguarding critical infrastructure to strengthening international partnerships, ARX Robotics is driving innovation where it matters most.","ARX Robotics develops autonomous unmanned ground systems with scalable hardware components and modular software architectures. Our solutions are designed to meet the evolving demands of defense and commercial applications with precision and adaptability. At the core of ARX is Mithra OS, our AI-powered operating system that bridges legacy platforms with cutting-edge technologies. Mithra enables seamless autonomy, interoperability, and real-time adaptability, providing a scalable solution to robotize legacy systems and support modernization efforts across domains. Complementing this is the Gereon system, a proven platform supporting reconnaissance, logistics, recovery, and crisis response. Together, these technologies empower operators in high-pressure missions with reliable, mission-critical capabilities. Deployed in NATO, EU, and civilian initiatives, ARX delivers scalable, dual-use systems that enhance operational resilience and decision-making. From safeguarding critical infrastructure to strengthening international partnerships, ARX Robotics is driving innovation where it matters most.",frontierTech,early,early,"Munich, Germany",Germany,Munich,2025,2021,high
